Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,503.85,2020-12-30,483.79,492.28,478.53,474.29,470.04,463.99,Stop Loss has occured
2021-01-12,511.25,2021-01-12,510.36,516.06,506.84,503.99,501.14,497.09,Awaiting Targets, 
2021-01-13,536.65,2021-01-12,510.36,516.06,506.84,503.99,501.14,497.09,Stop Loss has occured,SELL
2021-01-18,515.5,2021-01-18,520.65,526.15,517.25,514.5,511.75,507.83,Awaiting Targets, 
2021-01-19,532.8,2021-01-18,520.65,526.15,517.25,514.5,511.75,507.83,Target 1 Reached,SELL
2021-01-22,535.8,2021-01-21,553.5,540.94,563.36,570.29,578.16,585.79,Stop Loss has occured,BUY
2021-01-25,523.65,2021-01-25,534.02,541.14,529.62,526.07,522.51,517.44,Awaiting Targets, 
2021-01-27,518.85,2021-01-25,534.02,541.14,529.62,526.07,522.51,517.44,Final Target Reached,SELL
2021-02-01,542.75,2021-02-01,525.65,517.0,532.43,537.2,542.61,547.87,Awaiting Targets, 
2021-02-02,550.8,2021-02-01,525.65,517.0,532.43,537.2,542.61,547.87,Final Target Reached,BUY
2021-02-10,576.85,2021-02-08,579.82,597.25,569.04,560.33,551.61,539.2,Target 3 Reached,SELL
2021-02-19,653.5,2021-02-19,655.94,674.29,644.58,635.41,626.23,613.17,Awaiting Targets, 
2021-02-22,673.8,2021-02-19,655.94,674.29,644.58,635.41,626.23,613.17,Stop Loss has occured,SELL
2021-03-02,720.5,2021-03-02,709.7,692.0,723.59,733.35,744.43,755.18,Awaiting Targets, 
2021-03-03,729.85,2021-03-02,709.7,692.0,723.59,733.35,744.43,755.18,Target 3 Reached,BUY
2021-03-04,752.45,2021-03-02,709.7,692.0,723.59,733.35,744.43,755.18,Final Target Reached,BUY
2021-03-10,745.35,2021-03-10,751.24,770.77,739.15,729.39,719.62,705.72,Awaiting Targets, 
2021-03-15,719.05,2021-03-10,751.24,770.77,739.15,729.39,719.62,705.72,Target 3 Reached,SELL
2021-03-17,688.25,2021-03-10,751.24,770.77,739.15,729.39,719.62,705.72,Final Target Reached,SELL
2021-03-22,721.9,2021-03-22,703.8,682.0,721.0,733.0,746.7,759.9,Awaiting Targets, 
2021-03-24,706.85,2021-03-22,703.8,682.0,721.0,733.0,746.7,759.9,Target 3 Reached,BUY
