Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,623.8,2020-12-31,621.2,636.68,611.62,603.88,596.14,585.12,Awaiting Targets
2021-01-05,664.45,2020-12-31,621.2,636.68,611.62,603.88,596.14,585.12,Stop Loss has occured
2021-01-12,675.7,2021-01-12,670.31,681.1,663.63,658.24,652.84,645.16,Awaiting Targets, 
2021-01-13,687.8,2021-01-12,670.31,681.1,663.63,658.24,652.84,645.16,Stop Loss has occured,SELL
2021-01-18,657.0,2021-01-12,670.31,681.1,663.63,658.24,652.84,645.16,Target 3 Reached,SELL
2021-01-21,675.85,2021-01-21,680.34,671.77,687.07,691.8,697.16,702.37,Awaiting Targets, 
2021-01-22,644.5,2021-01-21,680.34,671.77,687.07,691.8,697.16,702.37,Stop Loss has occured,BUY
2021-01-25,658.4,2021-01-21,680.34,671.77,687.07,691.8,697.16,702.37,Awaiting Targets,BUY
2021-01-28,670.7,2021-01-25,654.94,668.2,646.73,640.1,633.47,624.03,Final Target Reached,SELL
2021-01-29,662.9,2021-01-29,665.69,653.13,675.55,682.48,690.35,697.98,Awaiting Targets, 
2021-02-01,709.35,2021-01-29,665.69,653.13,675.55,682.48,690.35,697.98,Final Target Reached,BUY
2021-02-08,736.15,2021-02-08,733.99,761.56,716.94,703.15,689.37,669.74,Awaiting Targets, 
2021-02-15,794.0,2021-02-08,733.99,761.56,716.94,703.15,689.37,669.74,Stop Loss has occured,SELL
2021-02-17,777.75,2021-02-15,776.7,770.56,781.52,784.91,788.76,792.49,Final Target Reached,BUY
2021-02-18,777.0,2021-02-18,774.5,788.4,765.91,758.96,752.01,742.12,Awaiting Targets, 
2021-02-19,749.65,2021-02-18,774.5,788.4,765.91,758.96,752.01,742.12,Final Target Reached,SELL
2021-02-26,724.8,2021-02-25,770.32,755.47,781.98,790.17,799.47,808.49,Awaiting Targets,BUY
2021-03-05,730.75,2021-03-04,737.61,729.31,744.13,748.71,753.91,758.95,Stop Loss has occured,BUY
2021-03-08,743.3,2021-03-04,737.61,729.31,744.13,748.71,753.91,758.95,Target 2 Reached,BUY
2021-03-09,745.45,2021-03-04,737.61,729.31,744.13,748.71,753.91,758.95,Target 3 Reached,BUY
2021-03-10,760.75,2021-03-04,737.61,729.31,744.13,748.71,753.91,758.95,Final Target Reached,BUY
2021-03-16,737.75,2021-03-15,742.26,755.5,734.07,727.45,720.83,711.41,Awaiting Targets,SELL
2021-03-17,727.9,2021-03-15,742.26,755.5,734.07,727.45,720.83,711.41,Target 2 Reached,SELL
2021-03-18,718.75,2021-03-15,742.3,755.5,734.1,727.4,720.8,711.4,Final Target Reached,SELL
2021-03-24,706.4,2021-03-23,725.5,714.3,734.3,740.5,747.5,754.3,Awaiting Targets,BUY
2021-03-30,695.35,2021-03-26,701.4,715.4,692.7,685.6,678.6,668.6,Target 1 Reached,SELL
2021-03-31,697.45,2021-03-31,697.3,692.5,701.0,703.6,706.6,709.5,Awaiting Targets, 
2021-04-01,713.0,2021-03-31,697.3,692.5,701.0,703.6,706.6,709.5,Final Target Reached,BUY
2021-04-06,677.9,2021-04-06,684.3,693.6,678.5,673.8,669.2,662.5,Awaiting Targets, 
2021-04-08,681.6,2021-04-06,684.3,693.6,678.5,673.8,669.2,662.5,Target 3 Reached,SELL
2021-04-13,661.0,2021-04-06,684.3,693.6,678.5,673.8,669.2,662.5,Final Target Reached,SELL
2021-04-20,651.75,2021-04-20,653.2,663.6,646.7,641.5,636.3,628.9,Awaiting Targets, 
2021-04-22,658.7,2021-04-20,653.2,663.6,646.7,641.5,636.3,628.9,Target 3 Reached,SELL
