Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-03-16,9613.3,2021-03-12,10017.93,9950.59,10070.79,10107.92,10150.08,10190.98,Awaiting Targets
2021-03-24,9202.05,2021-03-22,9415.7,9268.3,9531.5,9612.8,9705.1,9794.6,Stop Loss has occured,BUY
2021-03-26,9467.45,2021-03-26,9313.6,9227.6,9381.2,9428.6,9482.4,9534.7,Awaiting Targets, 
2021-03-30,9502.35,2021-03-26,9313.6,9227.6,9381.2,9428.6,9482.4,9534.7,Final Target Reached,BUY
2021-04-06,9519.5,2021-04-05,9538.9,9700.8,9438.7,9357.8,9276.9,9161.6,Awaiting Targets,SELL
2021-04-08,9654.8,2021-04-05,9538.9,9700.8,9438.7,9357.8,9276.9,9161.6,Stop Loss has occured,SELL
2021-04-09,9629.05,2021-04-09,9629.0,9497.6,9732.1,9804.6,9886.8,9966.6,Awaiting Targets, 
2021-04-13,9806.7,2021-04-12,9269.7,9306.0,9247.2,9229.0,9210.8,9185.0,Target 3 Reached,SELL
2021-04-15,9739.7,2021-04-15,9730.6,9557.0,9867.0,9962.8,10071.5,10177.1,Awaiting Targets, 
2021-04-16,9824.75,2021-04-15,9730.6,9557.0,9867.0,9962.8,10071.5,10177.1,Target 1 Reached,BUY
2021-04-22,9853.85,2021-04-20,9741.3,9856.3,9670.1,9612.6,9555.1,9473.2,Target 2 Reached,SELL
2021-05-20,11227.9,2021-05-18,11405.4,11259.7,11519.8,11600.2,11691.5,11780.0,Stop Loss has occured,BUY
2021-05-21,11265.15,2021-05-21,11297.5,11407.3,11229.6,11174.7,11119.8,11041.6,Awaiting Targets, 
2021-05-24,11166.8,2021-05-21,11297.5,11407.3,11229.6,11174.7,11119.8,11041.6,Target 3 Reached,SELL
2021-05-26,11906.4,2021-05-26,11667.9,11599.4,11721.6,11759.4,11802.3,11843.9,Awaiting Targets, 
2021-05-27,11888.8,2021-05-26,11667.9,11599.4,11721.6,11759.4,11802.3,11843.9,Final Target Reached,BUY
2021-06-01,11829.9,2021-06-01,11808.7,11984.8,11699.7,11611.6,11523.5,11398.1,Awaiting Targets, 
2021-06-04,12155.65,2021-06-01,11808.7,11984.8,11699.7,11611.6,11523.5,11398.1,Stop Loss has occured,SELL
2021-06-07,11828.55,2021-06-01,11808.7,11984.8,11699.7,11611.6,11523.5,11398.1,Target 1 Reached,SELL
2021-06-11,11907.5,2021-06-11,11960.1,11793.7,12090.7,12182.4,12286.6,12387.7,Awaiting Targets, 
2021-06-24,12333.25,2021-06-21,11983.3,11902.2,12047.0,12091.7,12142.5,12191.8,Final Target Reached,BUY
2022-05-16,3284.9,2022-05-12,3209.8,3212.3,3208.3,3207.1,3205.8,3204.1,Awaiting Targets,SELL
2022-05-16,153.5,2022-05-10,157.4,159.9,155.9,154.7,153.4,151.7,Target 3 Reached,SELL
2022-05-16,12655.25,2022-05-02,14798.2,14944.4,14707.8,14634.7,14561.6,14457.6,Final Target Reached,SELL
2022-05-20,12561.7,2022-05-17,12831.9,12638.9,12983.4,13089.8,13210.6,13327.9,Target 2 Reached,BUY
