Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-03-18,704.85,2021-03-17,714.0,721.3,709.5,705.8,702.1,696.9,Target 3 Reached
2021-03-19,733.0,2021-03-17,714.0,721.3,709.5,705.8,702.1,696.9,Final Target Reached,SELL
2021-03-22,743.5,2021-03-22,736.3,724.4,745.7,752.2,759.6,766.9,Awaiting Targets, 
2021-03-24,702.8,2021-03-22,736.3,724.4,745.7,752.2,759.6,766.9,Target 1 Reached,BUY
2021-03-25,723.15,2021-03-25,713.1,725.1,705.8,699.8,693.8,685.4,Awaiting Targets, 
2021-04-20,894.0,2021-04-16,898.7,875.0,917.2,930.2,945.0,959.3,Stop Loss has occured,BUY
2021-04-22,921.4,2021-04-16,898.7,875.0,917.2,930.2,945.0,959.3,Target 2 Reached,BUY
2021-04-23,925.6,2021-04-16,898.7,875.0,917.2,930.2,945.0,959.3,Target 3 Reached,BUY
2021-05-26,1082.15,2021-05-14,1154.3,1185.3,1135.1,1119.6,1104.1,1082.0,Final Target Reached,SELL
2021-05-27,1096.65,2021-05-27,1090.9,1064.3,1111.8,1126.4,1143.1,1159.2,Awaiting Targets, 
2021-05-28,1103.5,2021-05-27,1090.9,1064.3,1111.8,1126.4,1143.1,1159.2,Target 3 Reached,BUY
2021-06-08,1111.1,2021-06-08,1119.1,1136.8,1108.1,1099.3,1090.4,1077.8,Awaiting Targets, 
2022-05-16,153.5,2022-05-10,157.4,159.9,155.9,154.7,153.4,151.7,Target 3 Reached,SELL
2022-05-16,1103.5,2022-05-05,1289.7,1310.2,1277.0,1266.7,1256.4,1241.8,Final Target Reached,SELL
