Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,515.15,2020-12-30,519.06,524.94,515.43,512.49,509.55,505.37,Target 3 Reached
2021-01-06,525.3,2021-01-06,521.29,517.63,524.16,526.18,528.47,530.69,Awaiting Targets
2021-01-07,545.25,2021-01-06,521.29,517.63,524.16,526.18,528.47,530.69,Final Target Reached
2021-01-18,586.95,2021-01-15,604.16,600.24,607.24,609.4,611.85,614.23,Stop Loss has occured,BUY
2021-01-19,592.3,2021-01-19,591.84,600.72,586.34,581.9,577.46,571.13,Awaiting Targets, 
2021-01-20,596.15,2021-01-19,591.84,600.72,586.34,581.9,577.46,571.13,Stop Loss has occured,SELL
2021-01-21,581.35,2021-01-19,591.84,600.72,586.34,581.9,577.46,571.13,Target 3 Reached,SELL
2021-01-25,580.75,2021-01-19,591.84,600.72,586.34,581.9,577.46,571.13,Final Target Reached,SELL
2021-01-29,553.6,2021-01-29,565.3,556.38,572.31,577.23,582.82,588.24,Awaiting Targets, 
2021-02-01,579.15,2021-01-29,565.3,556.38,572.31,577.23,582.82,588.24,Target 2 Reached,BUY
2021-02-02,599.35,2021-01-29,565.3,556.38,572.31,577.23,582.82,588.24,Final Target Reached,BUY
2021-02-08,597.3,2021-02-05,591.76,609.18,580.99,572.28,563.57,551.17,Awaiting Targets,SELL
2021-02-10,590.2,2021-02-05,591.76,609.18,580.99,572.28,563.57,551.17,Target 1 Reached,SELL
2021-02-11,598.1,2021-02-11,595.66,588.92,600.95,604.67,608.89,612.99,Awaiting Targets, 
2021-02-16,593.95,2021-02-15,594.7,591.86,596.92,598.48,600.26,601.98,Target 3 Reached,BUY
2021-02-18,589.05,2021-02-18,592.31,595.38,590.41,588.88,587.35,585.16,Awaiting Targets, 
2021-02-19,581.35,2021-02-18,592.31,595.38,590.41,588.88,587.35,585.16,Final Target Reached,SELL
2021-02-26,556.3,2021-02-25,580.14,572.86,585.85,589.86,594.42,598.84,Target 1 Reached,BUY
2021-03-03,546.3,2021-03-02,538.24,553.57,528.76,521.1,513.43,502.52,Awaiting Targets,SELL
2021-03-05,532.8,2021-03-02,538.24,553.57,528.76,521.1,513.43,502.52,Target 1 Reached,SELL
2021-03-09,521.75,2021-03-02,538.24,553.57,528.76,521.1,513.43,502.52,Target 2 Reached,SELL
2021-03-15,522.85,2021-03-10,523.22,514.03,530.44,535.51,541.27,546.85,Target 1 Reached,BUY
2021-03-24,523.65,2021-03-24,526.7,531.2,523.8,521.6,519.3,516.0,Awaiting Targets, 
2021-03-25,507.75,2021-03-24,526.7,531.2,523.8,521.6,519.3,516.0,Final Target Reached,SELL
2021-03-30,521.5,2021-03-30,523.4,516.2,529.1,533.1,537.6,542.0,Awaiting Targets, 
2021-04-01,520.8,2021-03-30,523.4,516.2,529.1,533.1,537.6,542.0,Stop Loss has occured,BUY
2021-04-06,532.2,2021-03-30,523.4,516.2,529.1,533.1,537.6,542.0,Target 3 Reached,BUY
