Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,381.95,2021-01-01,381.86,384.23,380.39,379.21,378.02,376.33,Awaiting Targets
2021-01-04,395.35,2021-01-01,381.86,384.23,380.39,379.21,378.02,376.33,Stop Loss has occured
2021-01-06,387.3,2021-01-05,392.61,389.08,395.38,397.33,399.54,401.69,Target 1 Reached
2021-01-08,400.15,2021-01-08,398.85,402.25,396.75,395.05,393.35,390.93,Awaiting Targets
2021-01-11,401.75,2021-01-08,398.85,402.25,396.75,395.05,393.35,390.93,Target 2 Reached,SELL
2021-01-13,536.65,2021-01-12,510.36,516.06,506.84,503.99,501.14,497.09,Stop Loss has occured,SELL
2021-01-14,426.7,2021-01-08,398.85,402.25,396.75,395.05,393.35,390.93,Target 2 Reached,SELL
2021-01-25,387.3,2021-01-08,398.85,402.25,396.75,395.05,393.35,390.93,Final Target Reached,SELL
2021-02-01,393.0,2021-02-01,389.87,378.37,398.9,405.24,412.45,419.44,Awaiting Targets, 
2021-02-02,408.0,2021-02-01,389.87,378.37,398.9,405.24,412.45,419.44,Target 2 Reached,BUY
2021-02-03,414.9,2021-02-01,389.87,378.37,398.9,405.24,412.45,419.44,Target 3 Reached,BUY
2021-02-04,418.55,2021-02-01,389.87,378.37,398.9,405.24,412.45,419.44,Final Target Reached,BUY
2021-02-10,415.8,2021-02-09,426.26,436.6,419.87,414.7,409.53,402.17,Target 3 Reached,SELL
2021-02-16,417.95,2021-02-16,418.64,412.43,423.51,426.93,430.82,434.59,Awaiting Targets, 
2021-02-22,422.55,2021-02-18,423.15,419.31,426.16,428.28,430.69,433.02,Final Target Reached,BUY
2021-03-04,463.9,2021-03-04,464.45,471.54,460.07,456.52,452.98,447.94,Awaiting Targets, 
2021-03-05,461.8,2021-03-04,464.45,471.54,460.07,456.52,452.98,447.94,Target 1 Reached,SELL
2021-03-09,445.9,2021-03-04,464.45,471.54,460.07,456.52,452.98,447.94,Final Target Reached,SELL
2021-03-16,453.85,2021-03-15,460.33,452.39,466.56,470.94,475.91,480.73,Stop Loss has occured,BUY
2021-03-17,432.05,2021-03-17,437.72,441.09,435.63,433.94,432.25,429.85,Awaiting Targets, 
2021-03-18,426.9,2021-03-17,437.7,441.1,435.6,434.0,432.3,429.9,Final Target Reached,SELL
2021-03-26,424.2,2021-03-25,421.9,425.1,419.9,418.3,416.7,414.4,Stop Loss has occured,SELL
2021-03-31,427.95,2021-03-31,428.8,424.5,432.1,434.5,437.2,439.8,Awaiting Targets, 
2021-04-01,437.4,2021-03-31,428.8,424.5,432.1,434.5,437.2,439.8,Final Target Reached,BUY
2021-04-06,428.1,2021-04-06,429.0,433.4,426.2,424.0,421.8,418.6,Awaiting Targets, 
2021-04-08,430.55,2021-04-06,429.0,433.4,426.2,424.0,421.8,418.6,Stop Loss has occured,SELL
2021-04-09,425.6,2021-04-09,428.1,425.6,430.1,431.4,433.0,434.5,Awaiting Targets, 
2021-04-13,409.4,2021-04-12,410.8,412.6,409.7,408.8,407.9,406.6,Final Target Reached,SELL
2021-04-20,408.1,2021-04-19,406.5,400.7,411.1,414.3,418.0,421.5,Target 2 Reached,BUY
2021-04-22,418.35,2021-04-19,406.5,400.7,411.1,414.3,418.0,421.5,Target 3 Reached,BUY
2021-04-23,423.05,2021-04-19,406.5,400.7,411.1,414.3,418.0,421.5,Final Target Reached,BUY
2021-05-20,454.8,2021-05-20,450.6,447.1,453.3,455.2,457.4,459.5,Awaiting Targets, 
2021-05-21,461.05,2021-05-20,450.6,447.1,453.3,455.2,457.4,459.5,Final Target Reached,BUY
2021-05-27,467.85,2021-05-27,476.7,486.0,471.0,466.4,461.8,455.2,Awaiting Targets, 
2021-05-28,471.5,2021-05-27,476.7,486.0,471.0,466.4,461.8,455.2,Target 1 Reached,SELL
2021-06-04,478.25,2021-06-03,475.0,470.3,478.7,481.3,484.2,487.1,Target 2 Reached,BUY
