Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,135.35,2020-12-30,135.83,137.08,135.06,134.43,133.8,132.91,Target 1 Reached
2021-01-05,135.15,2021-01-05,135.76,135.0,136.36,136.78,137.25,137.71,Awaiting Targets
2021-01-06,135.1,2021-01-05,135.76,135.0,136.36,136.78,137.25,137.71,Target 3 Reached
2021-01-08,139.7,2021-01-05,135.76,135.0,136.36,136.78,137.25,137.71,Final Target Reached
2021-01-15,143.25,2021-01-15,145.0,148.54,142.81,141.04,139.27,136.75,Awaiting Targets, 
2021-01-18,138.7,2021-01-15,145.0,148.54,142.81,141.04,139.27,136.75,Final Target Reached,SELL
2021-02-09,139.25,2021-02-09,140.73,145.08,138.03,135.85,133.68,130.58,Awaiting Targets, 
2021-02-10,138.3,2021-02-09,140.73,145.08,138.03,135.85,133.68,130.58,Target 1 Reached,SELL
2021-02-12,133.85,2021-02-09,140.73,145.08,138.03,135.85,133.68,130.58,Target 3 Reached,SELL
2021-02-17,135.2,2021-02-17,134.29,131.84,136.21,137.56,139.1,140.59,Awaiting Targets, 
2021-02-18,139.95,2021-02-17,134.29,131.84,136.21,137.56,139.1,140.59,Final Target Reached,BUY
2021-02-23,136.9,2021-02-23,137.33,139.76,135.83,134.61,133.39,131.66,Awaiting Targets, 
2021-03-15,146.9,2021-03-12,151.12,152.03,150.56,150.1,149.65,149.0,Final Target Reached,SELL
2021-03-30,132.95,2021-03-26,129.5,126.8,131.5,133.0,134.6,136.2,Target 2 Reached,BUY
2021-04-06,130.3,2021-04-06,130.5,132.0,129.6,128.8,128.1,127.0,Awaiting Targets, 
2021-04-09,129.5,2021-04-08,131.9,131.4,132.4,132.7,133.0,133.3,Stop Loss has occured,BUY
2021-04-13,127.95,2021-04-12,126.1,127.2,125.4,124.8,124.3,123.5,Target 2 Reached,SELL
2021-04-16,127.85,2021-04-16,128.5,126.9,129.7,130.6,131.6,132.5,Awaiting Targets, 
2021-04-23,126.15,2021-04-20,124.9,126.4,123.9,123.2,122.4,121.3,Stop Loss has occured,SELL
