Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,5241.35,2020-12-30,5174.09,5203.21,5156.07,5141.51,5126.95,5106.22,Stop Loss has occured
2021-01-05,5286.9,2021-01-04,5270.48,5246.44,5289.36,5302.62,5317.67,5332.28,Final Target Reached
2021-01-07,5270.9,2021-01-07,5287.48,5317.1,5269.15,5254.34,5239.53,5218.44,Awaiting Targets
2021-01-08,5338.25,2021-01-07,5287.48,5317.1,5269.15,5254.34,5239.53,5218.44,Stop Loss has occured
2021-01-13,5290.0,2021-01-07,5287.48,5317.1,5269.15,5254.34,5239.53,5218.44,Target 3 Reached,SELL
2021-01-15,5212.8,2021-01-07,5287.48,5317.1,5269.15,5254.34,5239.53,5218.44,Final Target Reached,SELL
2021-01-25,5082.4,2021-01-22,5044.0,4971.0,5101.3,5141.55,5187.26,5231.6,Target 1 Reached,BUY
2021-02-03,4649.55,2021-02-03,4633.14,4515.43,4725.55,4790.46,4864.16,4935.67,Awaiting Targets, 
2021-02-05,4800.9,2021-02-03,4633.14,4515.43,4725.55,4790.46,4864.16,4935.67,Target 2 Reached,BUY
2021-02-08,4859.8,2021-02-03,4633.14,4515.43,4725.55,4790.46,4864.16,4935.67,Target 3 Reached,BUY
2021-02-11,4825.05,2021-02-11,4829.01,4915.74,4775.35,4731.99,4688.62,4626.88,Awaiting Targets, 
2021-02-15,4709.85,2021-02-11,4829.01,4915.74,4775.35,4731.99,4688.62,4626.88,Target 2 Reached,SELL
2021-02-16,4696.6,2021-02-11,4829.01,4915.74,4775.35,4731.99,4688.62,4626.88,Target 3 Reached,SELL
2021-02-17,4600.55,2021-02-11,4829.01,4915.74,4775.35,4731.99,4688.62,4626.88,Final Target Reached,SELL
2021-02-19,4681.45,2021-02-19,4635.36,4571.16,4685.76,4721.16,4761.36,4800.36,Awaiting Targets, 
2021-02-22,4469.25,2021-02-19,4635.36,4571.16,4685.76,4721.16,4761.36,4800.36,Target 2 Reached,BUY
2021-02-26,4426.55,2021-02-24,4457.86,4530.43,4412.96,4376.68,4340.4,4288.74,Target 1 Reached,SELL
2021-03-01,4453.4,2021-03-01,4444.16,4398.58,4479.95,4505.08,4533.62,4561.31,Awaiting Targets, 
2021-03-02,4404.7,2021-03-01,4444.16,4398.58,4479.95,4505.08,4533.62,4561.31,Stop Loss has occured,BUY
2021-03-03,4502.55,2021-03-01,4444.16,4398.58,4479.95,4505.08,4533.62,4561.31,Target 2 Reached,BUY
2021-03-04,4575.05,2021-03-01,4444.16,4398.58,4479.95,4505.08,4533.62,4561.31,Final Target Reached,BUY
2021-03-09,4448.3,2021-03-09,4471.43,4517.03,4443.23,4420.43,4397.63,4365.17,Awaiting Targets, 
2021-03-10,4500.4,2021-03-09,4471.43,4517.03,4443.23,4420.43,4397.63,4365.17,Stop Loss has occured,SELL
2021-03-15,4342.25,2021-03-15,4387.37,4360.22,4408.68,4423.64,4440.64,4457.13,Awaiting Targets, 
2021-03-16,4449.7,2021-03-15,4387.37,4360.22,4408.68,4423.64,4440.64,4457.13,Final Target Reached,BUY
2021-03-18,4212.75,2021-03-18,4289.1,4335.0,4260.6,4237.7,4214.7,4182.0,Awaiting Targets, 
2021-03-19,4274.45,2021-03-18,4289.1,4335.0,4260.6,4237.7,4214.7,4182.0,Final Target Reached,SELL
2021-03-24,4350.5,2021-03-23,4361.8,4302.1,4408.7,4441.6,4479.0,4515.3,Target 1 Reached,BUY
2021-03-30,4518.2,2021-03-23,4361.8,4302.1,4408.7,4441.6,4479.0,4515.3,Final Target Reached,BUY
2021-04-06,4619.25,2021-04-05,4531.1,4604.3,4485.9,4449.2,4412.6,4360.5,Stop Loss has occured,SELL
2021-04-20,5156.75,2021-04-20,5139.2,5043.0,5214.8,5267.8,5328.1,5386.6,Awaiting Targets, 
2021-04-22,5199.85,2021-04-20,5139.2,5043.0,5214.8,5267.8,5328.1,5386.6,Target 2 Reached,BUY
2021-04-26,5066.7,2021-04-26,5088.0,5181.7,5030.0,4983.1,4936.2,4869.5,Awaiting Targets, 
2021-05-21,5216.45,2021-05-20,5250.5,5196.3,5293.1,5323.0,5357.0,5389.9,Stop Loss has occured,BUY
2021-05-24,5272.15,2021-05-20,5250.5,5196.3,5293.1,5323.0,5357.0,5389.9,Target 1 Reached,BUY
2021-05-26,5285.2,2021-05-20,5250.5,5196.3,5293.1,5323.0,5357.0,5389.9,Target 2 Reached,BUY
2021-05-31,5309.15,2021-05-28,5226.2,5258.9,5205.9,5189.5,5173.2,5149.9,Target 3 Reached,SELL
2021-06-01,5316.5,2021-06-01,5306.4,5266.8,5337.6,5359.4,5384.2,5408.3,Awaiting Targets, 
2021-06-02,5312.35,2021-06-01,5306.4,5266.8,5337.6,5359.4,5384.2,5408.3,Target 1 Reached,BUY
2021-06-04,5255.0,2021-06-04,5267.4,5290.8,5252.9,5241.2,5229.5,5212.8,Awaiting Targets, 
2021-06-07,5219.2,2021-06-04,5267.4,5290.8,5252.9,5241.2,5229.5,5212.8,Final Target Reached,SELL
