Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,2542.7,2020-12-23,2446.16,2428.71,2459.86,2469.48,2480.41,2491.01,Final Target Reached
2021-01-20,947.7,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 1 Reached,SELL
2021-01-21,2926.6,2021-01-21,2918.17,2846.69,2974.28,3013.69,3058.45,3101.87,Awaiting Targets, 
2021-01-22,2972.6,2021-01-21,2918.17,2846.69,2974.28,3013.69,3058.45,3101.87,Target 2 Reached,BUY
2021-01-25,2869.55,2021-01-22,2952.4,2968.33,2942.54,2934.57,2926.61,2915.27,Final Target Reached,SELL
2021-02-02,2904.85,2021-02-02,2892.7,2820.27,2949.56,2989.5,3034.85,3078.85,Awaiting Targets, 
2021-02-04,2963.45,2021-02-02,2892.7,2820.27,2949.56,2989.5,3034.85,3078.85,Target 1 Reached,BUY
2021-02-05,2932.15,2021-02-02,2892.7,2820.27,2949.56,2989.5,3034.85,3078.85,Target 2 Reached,BUY
2021-02-10,2901.3,2021-02-08,2955.13,2998.72,2928.16,2906.37,2884.57,2853.54,Target 3 Reached,SELL
2021-02-11,2818.15,2021-02-08,2955.13,2998.72,2928.16,2906.37,2884.57,2853.54,Final Target Reached,SELL
2021-02-24,2535.8,2021-02-22,2527.11,2431.24,2602.38,2655.24,2715.27,2773.51,Awaiting Targets,BUY
2021-03-02,2602.3,2021-02-22,2527.11,2431.24,2602.38,2655.24,2715.27,2773.51,Target 1 Reached,BUY
2021-03-05,2587.75,2021-03-05,2591.69,2641.25,2561.03,2536.25,2511.47,2476.19,Awaiting Targets, 
2021-03-08,2583.25,2021-03-05,2591.69,2641.25,2561.03,2536.25,2511.47,2476.19,Stop Loss has occured,SELL
2021-03-15,2669.45,2021-03-12,2661.4,2634.22,2682.73,2697.72,2714.74,2731.25,Target 1 Reached,BUY
2021-03-17,2647.0,2021-03-17,2653.25,2680.07,2636.66,2623.25,2609.83,2590.74,Awaiting Targets, 
2021-03-24,2660.65,2021-03-22,2671.7,2655.2,2684.6,2693.7,2704.0,2714.0,Final Target Reached,BUY
2021-03-25,2580.45,2021-03-25,2603.8,2624.3,2591.1,2580.8,2570.6,2556.0,Awaiting Targets, 
2021-03-26,2560.55,2021-03-25,2603.8,2624.3,2591.1,2580.8,2570.6,2556.0,Final Target Reached,SELL
2021-04-01,2631.15,2021-04-01,2619.9,2592.7,2641.3,2656.3,2673.4,2689.9,Awaiting Targets, 
2021-04-09,2521.6,2021-04-08,2563.6,2540.5,2581.8,2594.6,2609.1,2623.2,Stop Loss has occured,BUY
2021-04-26,2369.85,2021-04-26,2351.3,2308.2,2385.1,2408.8,2435.8,2462.0,Awaiting Targets, 
2021-05-20,2530.6,2021-05-14,2432.0,2457.5,2416.2,2403.5,2390.8,2372.6,Target 1 Reached,SELL
2021-05-21,2522.3,2021-05-21,2536.4,2565.6,2518.3,2503.6,2489.0,2468.2,Awaiting Targets, 
2021-05-24,2551.2,2021-05-21,2536.4,2565.6,2518.3,2503.6,2489.0,2468.2,Stop Loss has occured,SELL
2021-05-27,2604.05,2021-05-26,2634.1,2608.4,2654.4,2668.6,2684.7,2700.4,Target 2 Reached,BUY
2021-05-28,2638.45,2021-05-28,2651.2,2676.3,2635.6,2623.0,2610.5,2592.6,Awaiting Targets, 
