Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-03-16,1384.5,2021-02-26,1229.16,1245.07,1219.32,1211.37,1203.42,1192.09,Target 3 Reached
2021-03-19,1411.25,2021-03-19,1392.4,1377.1,1404.4,1412.9,1422.5,1431.8,Awaiting Targets, 
2021-03-22,1413.9,2021-03-19,1392.4,1377.1,1404.4,1412.9,1422.5,1431.8,Target 3 Reached,BUY
2021-03-24,1387.65,2021-03-24,1396.4,1411.7,1386.9,1379.2,1371.5,1360.6,Awaiting Targets, 
2021-03-25,1372.75,2021-03-24,1396.4,1411.7,1386.9,1379.2,1371.5,1360.6,Final Target Reached,SELL
2021-03-30,1422.6,2021-03-30,1419.2,1406.8,1428.9,1435.7,1443.5,1451.0,Awaiting Targets, 
2021-03-31,1450.55,2021-03-30,1419.2,1406.8,1428.9,1435.7,1443.5,1451.0,Final Target Reached,BUY
2021-04-06,1432.55,2021-04-06,1438.7,1457.8,1426.9,1417.4,1407.8,1394.2,Awaiting Targets, 
2021-04-08,1447.8,2021-04-06,1438.7,1457.8,1426.9,1417.4,1407.8,1394.2,Stop Loss has occured,SELL
2021-04-13,1392.2,2021-04-06,1438.7,1457.8,1426.9,1417.4,1407.8,1394.2,Final Target Reached,SELL
2021-04-26,1312.35,2021-04-23,1290.6,1248.0,1324.0,1347.5,1374.2,1400.1,Awaiting Targets,BUY
2021-05-20,1375.25,2021-05-19,1395.8,1371.4,1414.9,1428.4,1443.7,1458.5,Stop Loss has occured,BUY
2021-05-25,1374.9,2021-05-21,1376.0,1389.4,1367.7,1361.0,1354.3,1344.8,Target 3 Reached,SELL
2021-05-26,1409.4,2021-05-26,1401.8,1391.4,1410.0,1415.7,1422.2,1428.6,Awaiting Targets, 
2021-05-27,1417.15,2021-05-26,1401.8,1391.4,1410.0,1415.7,1422.2,1428.6,Final Target Reached,BUY
2021-06-02,1442.25,2021-06-02,1441.6,1469.6,1424.2,1410.2,1396.1,1376.2,Awaiting Targets, 
2021-06-04,1503.25,2021-06-02,1441.6,1469.6,1424.2,1410.2,1396.1,1376.2,Stop Loss has occured,SELL
