Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,1425.05,2021-01-01,1432.17,1445.85,1423.7,1416.86,1410.02,1400.27,Awaiting Targets
2021-01-04,1416.0,2021-01-01,1432.17,1445.85,1423.7,1416.86,1410.02,1400.27,Final Target Reached
2021-01-08,1431.65,2021-01-08,1432.19,1422.77,1439.58,1444.77,1450.67,1456.39,Awaiting Targets
2021-01-11,1451.45,2021-01-08,1432.19,1422.77,1439.58,1444.77,1450.67,1456.39,Final Target Reached,BUY
2021-01-14,1468.75,2021-01-14,1471.01,1488.43,1460.24,1451.53,1442.82,1430.42,Awaiting Targets, 
2021-01-15,1466.65,2021-01-14,1470.97,1488.39,1460.2,1451.49,1442.78,1430.38,Target 2 Reached,SELL
2021-01-21,1474.8,2021-01-19,1493.58,1481.2,1503.3,1510.12,1517.88,1525.4,Stop Loss has occured,BUY
2021-01-22,1443.55,2021-01-22,1454.87,1465.41,1448.35,1443.08,1437.82,1430.32,Awaiting Targets, 
2021-01-27,1409.6,2021-01-22,1454.87,1465.41,1448.35,1443.08,1437.82,1430.32,Final Target Reached,SELL
2021-02-10,1581.75,2021-02-08,1613.15,1664.42,1581.43,1555.8,1530.16,1493.66,Target 1 Reached,SELL
2021-02-17,1586.5,2021-02-16,1624.32,1609.46,1635.98,1644.18,1653.48,1662.51,Awaiting Targets,BUY
2021-02-19,1539.1,2021-02-18,1578.55,1592.24,1570.08,1563.24,1556.4,1546.65,Final Target Reached,SELL
2021-02-24,1606.45,2021-02-24,1565.79,1547.81,1579.91,1589.82,1601.08,1612.01,Awaiting Targets, 
2021-02-26,1534.4,2021-02-24,1565.79,1547.81,1579.91,1589.82,1601.08,1612.01,Final Target Reached,BUY
2021-03-02,1568.2,2021-03-01,1559.04,1587.36,1541.52,1527.36,1513.2,1493.04,Stop Loss has occured,SELL
2021-03-03,1586.85,2021-03-03,1582.97,1572.95,1590.83,1596.35,1602.62,1608.71,Awaiting Targets, 
2021-03-16,1512.15,2021-03-15,1535.19,1550.52,1525.71,1518.04,1510.38,1499.47,Target 3 Reached,SELL
2021-03-17,1495.35,2021-03-15,1535.19,1550.52,1525.71,1518.04,1510.38,1499.47,Final Target Reached,SELL
2021-03-24,1478.8,2021-03-19,1492.0,1474.4,1505.8,1515.5,1526.5,1537.2,Target 1 Reached,BUY
2021-03-30,1553.7,2021-03-19,1492.0,1474.4,1505.8,1515.5,1526.5,1537.2,Final Target Reached,BUY
2021-04-01,1486.75,2021-04-01,1487.6,1514.1,1471.3,1458.0,1444.7,1425.9,Awaiting Targets, 
2021-04-06,1440.25,2021-04-01,1487.6,1514.1,1471.3,1458.0,1444.7,1425.9,Target 3 Reached,SELL
2021-04-08,1432.8,2021-04-01,1487.6,1514.1,1471.3,1458.0,1444.7,1425.9,Final Target Reached,SELL
2021-04-22,1422.5,2021-04-22,1400.1,1421.8,1386.7,1375.8,1364.9,1349.5,Awaiting Targets, 
2021-05-20,1432.8,2021-05-18,1468.3,1455.2,1478.6,1485.8,1494.1,1502.0,Target 1 Reached,BUY
2021-05-21,1497.3,2021-05-21,1471.3,1489.4,1460.1,1451.1,1442.1,1429.2,Awaiting Targets, 
2021-05-24,1509.95,2021-05-21,1471.3,1489.4,1460.1,1451.1,1442.1,1429.2,Target 1 Reached,SELL
2021-05-25,1478.95,2021-05-24,1508.0,1495.4,1517.9,1524.9,1532.7,1540.4,Stop Loss has occured,BUY
2021-05-26,1477.05,2021-05-26,1478.5,1492.8,1469.7,1462.5,1455.4,1445.3,Awaiting Targets, 
2021-05-27,1482.65,2021-05-26,1478.5,1492.8,1469.7,1462.5,1455.4,1445.3,Target 2 Reached,SELL
2021-06-02,1504.0,2021-05-31,1505.7,1494.9,1514.2,1520.1,1526.9,1533.5,Target 3 Reached,BUY
2021-06-04,1500.95,2021-06-03,1510.3,1519.6,1504.5,1499.8,1495.2,1488.6,Target 2 Reached,SELL
