Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-03-16,703.05,2021-03-12,725.1,733.29,720.03,715.94,711.85,706.02,Final Target Reached
2021-03-22,679.85,2021-03-22,685.6,671.4,696.6,704.4,713.3,721.8,Awaiting Targets, 
2021-03-25,667.0,2021-03-22,685.6,671.4,696.6,704.4,713.3,721.8,Stop Loss has occured,BUY
2021-03-31,696.2,2021-03-22,685.6,671.4,696.6,704.4,713.3,721.8,Target 1 Reached,BUY
2021-04-06,697.15,2021-04-06,691.3,700.2,685.8,681.4,676.9,670.5,Awaiting Targets, 
2021-04-08,701.45,2021-04-06,691.3,700.2,685.8,681.4,676.9,670.5,Stop Loss has occured,SELL
2021-04-16,690.65,2021-04-16,693.9,686.6,699.6,703.7,708.2,712.7,Awaiting Targets, 
2021-04-20,685.2,2021-04-16,693.9,686.6,699.6,703.7,708.2,712.7,Stop Loss has occured,BUY
2021-04-23,686.35,2021-04-23,683.3,675.8,689.1,693.2,697.8,702.3,Awaiting Targets, 
2021-04-26,704.45,2021-04-23,683.3,675.8,689.1,693.2,697.8,702.3,Final Target Reached,BUY
2021-05-20,667.5,2021-05-20,670.3,668.9,671.4,672.2,673.1,673.9,Awaiting Targets, 
