Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,2568.75,2020-12-22,2404.76,2451.97,2375.55,2351.95,2328.34,2294.73,Stop Loss has occured
2021-01-08,2657.5,2021-01-07,2672.02,2690.55,2660.56,2651.3,2642.03,2628.85,Target 3 Reached
2021-01-13,2670.9,2021-01-13,2714.9,2733.07,2703.66,2694.58,2685.49,2672.56,Awaiting Targets, 
2021-01-14,2684.05,2021-01-13,2714.9,2733.07,2703.66,2694.58,2685.49,2672.56,Final Target Reached,SELL
2021-01-20,2688.15,2021-01-20,2672.16,2623.55,2710.32,2737.12,2767.56,2797.09,Awaiting Targets, 
2021-01-22,2589.45,2021-01-20,2672.16,2623.55,2710.32,2737.12,2767.56,2797.09,Stop Loss has occured,BUY
2021-02-01,2579.25,2021-02-01,2493.98,2428.62,2545.28,2581.32,2622.24,2661.95,Awaiting Targets, 
2021-02-02,2659.0,2021-02-01,2493.98,2428.62,2545.28,2581.32,2622.24,2661.95,Final Target Reached,BUY
2021-02-11,2760.6,2021-02-10,2758.06,2850.61,2700.81,2654.54,2608.26,2542.38,Awaiting Targets,SELL
2021-02-15,2860.45,2021-02-10,2758.06,2850.61,2700.81,2654.54,2608.26,2542.38,Stop Loss has occured,SELL
2021-02-17,2805.35,2021-02-17,2825.01,2847.88,2810.87,2799.44,2788.0,2771.72,Awaiting Targets, 
2021-02-18,2745.15,2021-02-17,2825.01,2847.88,2810.87,2799.44,2788.0,2771.72,Final Target Reached,SELL
2021-02-24,2707.75,2021-02-24,2662.74,2612.32,2702.32,2730.12,2761.69,2792.32,Awaiting Targets, 
2021-02-26,2539.4,2021-02-24,2662.74,2612.32,2702.32,2730.12,2761.69,2792.32,Target 2 Reached,BUY
2021-03-09,2577.3,2021-03-08,2532.68,2565.87,2512.14,2495.54,2478.95,2455.32,Stop Loss has occured,SELL
