Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-03-16,2244.05,2021-03-12,2220.16,2204.14,2232.73,2241.57,2251.59,2261.33,Target 2 Reached
2021-03-17,2226.3,2021-03-12,2220.16,2204.14,2232.73,2241.57,2251.59,2261.33,Final Target Reached,BUY
2021-03-19,2312.05,2021-03-19,2258.2,2276.8,2246.7,2237.5,2228.2,2214.9,Awaiting Targets, 
2021-03-22,2353.2,2021-03-19,2258.2,2276.8,2246.7,2237.5,2228.2,2214.9,Target 1 Reached,SELL
2021-03-24,2318.6,2021-03-23,2351.7,2316.4,2379.4,2398.9,2421.0,2442.5,Awaiting Targets,BUY
2021-03-26,2317.9,2021-03-25,2277.1,2297.4,2264.6,2254.4,2244.3,2229.8,Target 2 Reached,SELL
2021-04-06,2408.3,2021-04-06,2394.7,2422.6,2377.5,2363.6,2349.7,2329.8,Awaiting Targets, 
2021-04-08,2409.9,2021-04-06,2394.7,2422.6,2377.5,2363.6,2349.7,2329.8,Stop Loss has occured,SELL
2021-04-09,2476.0,2021-04-09,2451.7,2438.5,2462.1,2469.4,2477.6,2485.7,Awaiting Targets, 
2021-04-13,2454.4,2021-04-09,2451.7,2438.5,2462.1,2469.4,2477.6,2485.7,Final Target Reached,BUY
2021-04-15,2460.65,2021-04-15,2468.9,2492.2,2454.5,2442.8,2431.2,2414.6,Awaiting Targets, 
2021-04-16,2458.9,2021-04-15,2468.9,2492.2,2454.5,2442.8,2431.2,2414.6,Target 2 Reached,SELL
2021-04-20,2397.45,2021-04-15,2468.9,2492.2,2454.5,2442.8,2431.2,2414.6,Final Target Reached,SELL
2021-05-20,2344.15,2021-05-18,2387.9,2368.8,2402.9,2413.4,2425.4,2437.0,Awaiting Targets,BUY
2021-05-26,2354.0,2021-05-25,2351.7,2341.8,2359.4,2364.9,2371.0,2377.0,Target 2 Reached,BUY
2021-05-31,2340.05,2021-05-28,2331.1,2342.3,2324.2,2318.6,2313.1,2305.1,Target 1 Reached,SELL
2021-06-01,2358.3,2021-06-01,2349.7,2343.2,2354.9,2358.5,2362.6,2366.6,Awaiting Targets, 
2021-06-02,2358.8,2021-06-01,2349.7,2343.2,2354.9,2358.5,2362.6,2366.6,Final Target Reached,BUY
2021-06-07,2339.3,2021-06-07,2344.6,2354.8,2338.3,2333.2,2328.1,2320.9,Awaiting Targets, 
2021-06-08,2359.0,2021-06-07,2344.6,2354.8,2338.3,2333.2,2328.1,2320.9,Target 1 Reached,SELL
2021-06-24,2490.15,2021-06-23,2486.9,2525.5,2463.0,2443.7,2424.4,2396.9,Awaiting Targets,SELL
2022-05-16,2217.25,2022-05-11,2163.6,2132.6,2187.9,2204.9,2224.3,2243.1,Target 2 Reached,BUY
2022-05-20,2325.95,2022-05-11,2163.6,2132.6,2187.9,2204.9,2224.3,2243.1,Final Target Reached,BUY
