Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,527.5,2021-01-01,531.54,541.44,525.42,520.46,515.51,508.47,Awaiting Targets
2021-01-04,531.7,2021-01-01,531.54,541.44,525.42,520.46,515.51,508.47,Target 1 Reached
2021-01-08,542.05,2021-01-07,546.85,540.94,551.48,554.74,558.44,562.03,Stop Loss has occured
2021-01-11,544.7,2021-01-11,542.71,546.97,540.07,537.95,535.82,532.78,Awaiting Targets, 
2021-01-12,548.0,2021-01-11,542.71,546.97,540.07,537.95,535.82,532.78,Target 2 Reached,SELL
2021-01-13,556.5,2021-01-13,554.31,550.96,556.94,558.79,560.88,562.92,Awaiting Targets, 
2021-01-14,553.3,2021-01-13,554.31,550.96,556.94,558.79,560.88,562.92,Target 1 Reached,BUY
2021-01-19,546.45,2021-01-15,546.38,550.53,543.81,541.73,539.66,536.7,Final Target Reached,SELL
2021-01-20,551.0,2021-01-20,549.51,544.68,553.31,555.97,559.0,561.93,Awaiting Targets, 
2021-01-21,552.7,2021-01-20,549.51,544.68,553.31,555.97,559.0,561.93,Target 3 Reached,BUY
2021-02-01,603.8,2021-01-20,549.51,544.68,553.31,555.97,559.0,561.93,Final Target Reached,BUY
2021-02-17,657.35,2021-02-16,665.17,652.45,675.16,682.17,690.14,697.86,Awaiting Targets,BUY
2021-02-19,624.05,2021-02-18,646.16,653.25,641.77,638.22,634.68,629.63,Final Target Reached,SELL
2021-02-24,641.1,2021-02-24,629.08,618.45,637.42,643.28,649.93,656.38,Awaiting Targets, 
2021-02-26,597.75,2021-02-24,629.08,618.45,637.42,643.28,649.93,656.38,Target 2 Reached,BUY
2021-03-02,610.5,2021-03-01,606.99,620.56,598.59,591.81,585.02,575.36,Awaiting Targets,SELL
2021-03-04,620.75,2021-03-03,624.43,620.4,627.59,629.81,632.34,634.78,Target 2 Reached,BUY
2021-03-15,603.5,2021-03-15,604.71,611.71,600.38,596.88,593.39,588.41,Awaiting Targets, 
2021-03-16,594.95,2021-03-15,604.71,611.71,600.38,596.88,593.39,588.41,Target 2 Reached,SELL
2021-03-17,589.5,2021-03-15,604.71,611.71,600.38,596.88,593.39,588.41,Final Target Reached,SELL
2021-03-24,567.5,2021-03-22,579.1,568.0,587.9,594.0,601.0,607.7,Target 1 Reached,BUY
2021-04-01,594.4,2021-03-22,579.1,568.0,587.9,594.0,601.0,607.7,Target 2 Reached,BUY
2021-04-06,565.9,2021-04-05,579.7,588.9,574.0,569.4,564.8,558.2,Target 3 Reached,SELL
2021-04-15,575.2,2021-04-15,568.0,558.8,575.2,580.2,585.9,591.5,Awaiting Targets, 
2021-04-16,566.95,2021-04-15,568.0,558.8,575.2,580.2,585.9,591.5,Target 1 Reached,BUY
2021-04-22,579.2,2021-04-22,564.7,575.0,558.4,553.3,548.2,540.9,Awaiting Targets, 
2021-04-26,591.1,2021-04-23,571.8,564.6,577.5,581.4,586.0,590.3,Final Target Reached,BUY
2021-05-20,618.6,2021-05-18,630.6,623.5,636.3,640.2,644.7,649.0,Stop Loss has occured,BUY
2021-05-21,642.45,2021-05-21,632.8,639.6,628.5,625.1,621.7,616.8,Awaiting Targets, 
2021-05-24,647.35,2021-05-21,632.8,639.6,628.5,625.1,621.7,616.8,Target 1 Reached,SELL
