Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,900.15,2021-01-01,898.05,914.5,887.87,879.65,871.43,859.72,Awaiting Targets
2021-01-04,897.85,2021-01-01,898.05,914.5,887.87,879.65,871.43,859.72,Target 1 Reached
2021-01-06,922.35,2021-01-06,923.36,913.87,930.81,936.04,941.99,947.75,Awaiting Targets
2021-01-07,952.05,2021-01-06,923.36,913.87,930.81,936.04,941.99,947.75,Final Target Reached
2021-01-11,929.1,2021-01-11,937.28,954.57,926.59,917.94,909.3,896.99,Awaiting Targets, 
2021-01-12,927.65,2021-01-11,937.28,954.57,926.59,917.94,909.3,896.99,Target 3 Reached,SELL
2021-01-14,969.7,2021-01-14,963.67,953.62,971.55,977.1,983.39,989.49,Awaiting Targets, 
2021-01-15,965.9,2021-01-14,963.67,953.62,971.55,977.1,983.39,989.49,Target 2 Reached,BUY
2021-01-20,947.7,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 1 Reached,SELL
2021-01-21,925.85,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 3 Reached,SELL
2021-01-22,893.3,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Final Target Reached,SELL
2021-02-01,970.6,2021-02-01,916.75,878.66,946.66,967.66,991.51,1014.65,Awaiting Targets, 
2021-02-02,975.65,2021-02-01,916.75,878.66,946.66,967.66,991.51,1014.65,Target 3 Reached,BUY
2021-02-03,1048.55,2021-02-01,916.75,878.66,946.66,967.66,991.51,1014.65,Final Target Reached,BUY
