Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,1260.45,2021-01-01,1259.91,1255.58,1263.32,1265.71,1268.42,1271.05,Awaiting Targets
2021-01-04,1288.25,2021-01-01,1259.91,1255.58,1263.32,1265.71,1268.42,1271.05,Final Target Reached
2021-01-14,1370.5,2021-01-14,1358.24,1374.41,1348.24,1340.16,1332.07,1320.56,Awaiting Targets, 
2021-01-15,1344.95,2021-01-14,1358.24,1374.41,1348.24,1340.16,1332.07,1320.56,Target 2 Reached,SELL
2021-01-18,1312.05,2021-01-14,1358.24,1374.41,1348.24,1340.16,1332.07,1320.56,Final Target Reached,SELL
2021-01-21,1339.7,2021-01-21,1346.44,1329.75,1359.55,1368.75,1379.2,1389.34,Awaiting Targets, 
2021-01-22,1340.85,2021-01-21,1346.44,1329.75,1359.55,1368.75,1379.2,1389.34,Stop Loss has occured,BUY
2021-01-27,1301.0,2021-01-27,1308.31,1319.65,1301.29,1295.62,1289.96,1281.88,Awaiting Targets, 
2021-01-28,1276.2,2021-01-27,1308.31,1319.65,1301.29,1295.62,1289.96,1281.88,Final Target Reached,SELL
2021-02-02,1271.25,2021-02-02,1277.31,1254.95,1294.86,1307.19,1321.19,1334.77,Awaiting Targets, 
2021-02-03,1284.65,2021-02-02,1277.31,1254.95,1294.86,1307.19,1321.19,1334.77,Target 1 Reached,BUY
2021-02-08,1303.55,2021-02-02,1277.31,1254.95,1294.86,1307.19,1321.19,1334.77,Target 2 Reached,BUY
2021-02-09,1305.55,2021-02-02,1277.31,1254.95,1294.86,1307.19,1321.19,1334.77,Target 3 Reached,BUY
2021-02-10,1296.5,2021-02-10,1295.06,1311.58,1284.84,1276.58,1268.32,1256.56,Awaiting Targets, 
2021-02-11,1292.65,2021-02-10,1295.06,1311.58,1284.84,1276.58,1268.32,1256.56,Target 1 Reached,SELL
2021-02-16,1290.4,2021-02-15,1316.29,1307.58,1323.13,1327.93,1333.38,1338.67,Stop Loss has occured,BUY
2021-02-17,1281.3,2021-02-17,1285.3,1295.31,1279.11,1274.11,1269.11,1261.98,Awaiting Targets, 
2021-02-18,1292.45,2021-02-17,1285.3,1295.31,1279.11,1274.11,1269.11,1261.98,Target 1 Reached,SELL
2021-02-22,1265.2,2021-02-22,1282.18,1275.55,1287.39,1291.05,1295.2,1299.23,Awaiting Targets, 
2021-02-23,1266.35,2021-02-22,1282.18,1275.55,1287.39,1291.05,1295.2,1299.23,Target 1 Reached,BUY
2021-02-26,1253.3,2021-02-22,1282.18,1275.55,1287.39,1291.05,1295.2,1299.23,Final Target Reached,BUY
2021-03-01,1267.0,2021-02-25,1283.69,1277.89,1288.24,1291.44,1295.07,1298.59,Stop Loss has occured,BUY
2021-03-02,1304.5,2021-02-25,1283.69,1277.89,1288.24,1291.44,1295.07,1298.59,Final Target Reached,BUY
2021-03-08,1335.75,2021-03-08,1330.96,1359.07,1313.57,1299.52,1285.47,1265.46,Awaiting Targets, 
2021-03-15,1373.6,2021-03-10,1363.52,1356.4,1369.1,1373.02,1377.48,1381.8,Final Target Reached,BUY
2021-03-24,1353.75,2021-03-23,1371.7,1351.9,1387.2,1398.2,1410.5,1422.6,Awaiting Targets,BUY
