Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-03-16,100.4,2021-03-16,101.26,99.91,102.32,103.06,103.9,104.72,Awaiting Targets
2021-03-18,97.25,2021-03-16,101.2,99.9,102.3,103.0,103.9,104.7,Stop Loss has occured,BUY
2021-04-01,93.15,2021-04-01,92.5,90.8,93.8,94.7,95.7,96.8,Awaiting Targets, 
2021-04-06,91.15,2021-04-01,92.5,90.8,93.8,94.7,95.7,96.8,Stop Loss has occured,BUY
2021-04-13,88.8,2021-04-12,88.5,89.4,88.0,87.6,87.1,86.5,Target 3 Reached,SELL
2021-04-16,90.15,2021-04-16,89.9,88.8,90.9,91.5,92.3,93.0,Awaiting Targets, 
2021-04-20,87.8,2021-04-16,89.9,88.8,90.9,91.5,92.3,93.0,Stop Loss has occured,BUY
2021-04-22,87.85,2021-04-22,87.8,88.9,87.2,86.7,86.2,85.5,Awaiting Targets, 
2021-05-20,104.7,2021-05-14,101.9,103.9,100.7,99.7,98.7,97.3,Target 1 Reached,SELL
2021-05-21,104.3,2021-05-21,105.2,106.8,104.2,103.4,102.6,101.4,Awaiting Targets, 
2021-05-24,109.45,2021-05-21,105.2,106.8,104.2,103.4,102.6,101.4,Stop Loss has occured,SELL
2021-05-28,109.85,2021-05-28,110.5,112.2,109.4,108.6,107.7,106.5,Awaiting Targets, 
2021-05-31,109.25,2021-05-28,110.5,112.2,109.4,108.6,107.7,106.5,Target 2 Reached,SELL
2021-06-04,114.6,2021-06-03,111.4,110.6,112.0,112.5,113.0,113.4,Final Target Reached,BUY
2021-06-11,115.1,2021-06-10,115.8,117.6,114.7,113.8,112.9,111.6,Target 1 Reached,SELL
2021-06-24,111.45,2021-06-23,113.6,112.6,114.4,115.0,115.7,116.3,Stop Loss has occured,BUY
2022-05-16,153.5,2022-05-10,157.4,159.9,155.9,154.7,153.4,151.7,Target 3 Reached,SELL
2022-05-16,3284.9,2022-05-12,3209.8,3212.3,3208.3,3207.1,3205.8,3204.1,Awaiting Targets,SELL
2022-05-16,122.1,2022-05-13,123.0,121.4,124.3,125.2,126.2,127.1,Stop Loss has occured,BUY
2022-05-20,116.95,2022-05-13,123.0,121.4,124.3,125.2,126.2,127.1,Target 2 Reached,BUY
