Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,213.85,2020-12-31,209.85,211.71,208.69,207.76,206.83,205.5,Stop Loss has occured
2021-01-06,205.4,2020-12-31,209.85,211.71,208.69,207.76,206.83,205.5,Final Target Reached
2021-01-12,206.45,2021-01-12,204.49,201.12,207.14,209.0,211.11,213.15,Awaiting Targets, 
2021-01-13,211.25,2021-01-12,204.49,201.12,207.14,209.0,211.11,213.15,Target 3 Reached,BUY
2021-01-14,214.15,2021-01-12,204.49,201.12,207.14,209.0,211.11,213.15,Final Target Reached,BUY
2021-01-20,217.65,2021-01-20,217.72,222.53,214.74,212.33,209.92,206.5,Awaiting Targets, 
2021-01-21,213.7,2021-01-20,217.72,222.53,214.74,212.33,209.92,206.5,Target 2 Reached,SELL
2021-01-22,210.7,2021-01-20,217.72,222.53,214.74,212.33,209.92,206.5,Target 3 Reached,SELL
2021-01-28,206.6,2021-01-20,217.72,222.53,214.74,212.33,209.92,206.5,Final Target Reached,SELL
2021-02-10,227.55,2021-02-10,227.68,236.51,222.22,217.81,213.4,207.11,Awaiting Targets, 
2021-02-12,217.45,2021-02-10,227.68,236.51,222.22,217.81,213.4,207.11,Target 2 Reached,SELL
2021-02-18,218.85,2021-02-18,218.89,215.47,221.57,223.46,225.6,227.68,Awaiting Targets, 
2021-02-19,215.95,2021-02-18,218.89,215.47,221.57,223.46,225.6,227.68,Stop Loss has occured,BUY
2021-03-03,209.95,2021-02-25,209.66,208.14,210.85,211.69,212.64,213.57,Target 2 Reached,BUY
2021-03-08,208.0,2021-03-08,209.05,211.17,207.73,206.67,205.61,204.1,Awaiting Targets, 
2021-03-09,207.8,2021-03-08,209.05,211.17,207.73,206.67,205.61,204.1,Target 3 Reached,SELL
2021-03-15,205.45,2021-03-08,209.05,211.17,207.73,206.67,205.61,204.1,Final Target Reached,SELL
