Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,389.7,2020-12-21,356.88,361.56,353.98,351.64,349.29,345.96,Target 3 Reached
2021-01-08,402.85,2021-01-08,405.53,399.37,410.37,413.76,417.62,421.36,Awaiting Targets
2021-01-12,399.55,2021-01-11,399.88,402.7,398.14,396.72,395.31,393.31,Target 1 Reached,SELL
2021-01-13,402.95,2021-01-11,399.88,402.7,398.14,396.72,395.31,393.31,Target 3 Reached,SELL
2021-01-15,394.2,2021-01-11,399.88,402.7,398.14,396.72,395.31,393.31,Final Target Reached,SELL
2021-01-19,395.4,2021-01-19,390.23,382.22,396.53,400.95,405.96,410.83,Awaiting Targets, 
2021-01-20,400.9,2021-01-19,390.23,382.22,396.53,400.95,405.96,410.83,Target 2 Reached,BUY
2021-01-25,382.45,2021-01-25,384.21,391.95,379.42,375.55,371.68,366.17,Awaiting Targets, 
2021-01-27,376.25,2021-01-25,384.21,391.95,379.42,375.55,371.68,366.17,Target 3 Reached,SELL
2021-01-29,366.85,2021-01-25,384.21,391.95,379.42,375.55,371.68,366.17,Final Target Reached,SELL
2021-02-01,380.85,2021-02-01,373.85,367.06,379.19,382.94,387.19,391.32,Awaiting Targets, 
2021-02-02,389.0,2021-02-01,373.85,367.06,379.19,382.94,387.19,391.32,Final Target Reached,BUY
2021-02-10,410.75,2021-02-09,411.33,424.45,403.21,396.65,390.09,380.75,Target 1 Reached,SELL
2021-02-18,407.65,2021-02-18,409.6,404.91,413.28,415.86,418.79,421.64,Awaiting Targets, 
2021-02-23,412.6,2021-02-22,403.06,399.33,406.0,408.05,410.39,412.66,Final Target Reached,BUY
2021-02-26,395.45,2021-02-26,405.21,412.4,400.77,397.18,393.58,388.47,Awaiting Targets, 
2021-03-01,405.1,2021-02-26,405.21,412.4,400.77,397.18,393.58,388.47,Target 3 Reached,SELL
2021-03-03,428.15,2021-03-03,423.44,417.18,428.35,431.8,435.72,439.53,Awaiting Targets, 
2021-03-09,401.6,2021-03-08,410.45,418.12,405.7,401.87,398.04,392.58,Target 3 Reached,SELL
2021-03-15,429.65,2021-03-12,419.84,415.84,422.98,425.19,427.7,430.13,Final Target Reached,BUY
2021-03-18,423.15,2021-03-18,425.7,431.6,422.1,419.2,416.3,412.2,Awaiting Targets, 
2021-03-19,440.55,2021-03-18,425.7,431.6,422.1,419.2,416.3,412.2,Final Target Reached,SELL
2021-03-22,445.3,2021-03-22,443.1,435.3,449.2,453.4,458.3,463.0,Awaiting Targets, 
2021-03-24,437.35,2021-03-22,443.1,435.3,449.2,453.4,458.3,463.0,Stop Loss has occured,BUY
2021-03-25,438.0,2021-03-25,436.4,441.6,433.2,430.6,428.0,424.2,Awaiting Targets, 
2021-03-26,445.2,2021-03-25,436.4,441.6,433.2,430.6,428.0,424.2,Stop Loss has occured,SELL
2021-04-16,619.4,2021-04-13,618.5,595.5,636.6,649.3,663.7,677.7,Target 1 Reached,BUY
2021-04-20,620.6,2021-04-19,609.1,619.6,602.5,597.3,592.0,584.5,Awaiting Targets,SELL
2021-04-26,655.8,2021-04-23,638.8,626.8,648.2,654.8,662.2,669.5,Target 2 Reached,BUY
2021-04-26,655.8,2021-04-23,638.8,626.8,648.2,654.8,662.2,669.5,Target 2 Reached,BUY
