Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,1994.05,2021-01-01,1997.4,2023.36,1981.34,1968.36,1955.38,1936.9,Awaiting Targets
2021-01-04,1965.55,2021-01-01,1997.4,2023.36,1981.34,1968.36,1955.38,1936.9,Target 3 Reached
2021-01-05,1959.75,2021-01-01,1997.4,2023.36,1981.34,1968.36,1955.38,1936.9,Final Target Reached
2021-01-08,1970.7,2021-01-08,1966.24,1950.63,1978.5,1987.1,1996.88,2006.36,Awaiting Targets
2021-01-12,1903.45,2021-01-11,1950.11,1957.13,1945.77,1942.26,1938.74,1933.75,Final Target Reached,SELL
2021-01-19,1887.0,2021-01-19,1870.08,1842.57,1891.68,1906.85,1924.08,1940.8,Awaiting Targets, 
2021-01-21,1857.8,2021-01-19,1870.08,1842.57,1891.68,1906.85,1924.08,1940.8,Target 1 Reached,BUY
2021-02-01,1801.5,2021-02-01,1759.34,1723.73,1787.29,1806.93,1829.23,1850.86,Awaiting Targets, 
2021-02-02,1861.3,2021-02-01,1759.34,1723.73,1787.29,1806.93,1829.23,1850.86,Final Target Reached,BUY
2021-02-10,1952.05,2021-02-09,1955.5,2034.31,1906.74,1867.34,1827.93,1771.83,Awaiting Targets,SELL
2021-02-16,2019.65,2021-02-09,1955.5,2034.31,1906.74,1867.34,1827.93,1771.83,Stop Loss has occured,SELL
2021-02-18,1945.45,2021-02-18,1961.89,1981.51,1949.75,1939.94,1930.13,1916.17,Awaiting Targets, 
2021-02-19,1938.75,2021-02-18,1961.89,1981.51,1949.75,1939.94,1930.13,1916.17,Target 3 Reached,SELL
2021-02-23,1872.95,2021-02-18,1961.89,1981.51,1949.75,1939.94,1930.13,1916.17,Final Target Reached,SELL
2021-03-02,1844.65,2021-03-01,1828.17,1873.53,1800.11,1777.43,1754.75,1722.46,Awaiting Targets,SELL
2021-03-04,1897.7,2021-03-03,1878.61,1863.99,1890.09,1898.15,1907.3,1916.19,Target 3 Reached,BUY
2021-03-05,1922.5,2021-03-03,1878.61,1863.99,1890.09,1898.15,1907.3,1916.19,Final Target Reached,BUY
2021-03-15,1918.65,2021-03-12,1951.53,1987.55,1929.25,1911.25,1893.24,1867.6,Target 3 Reached,SELL
2021-03-17,1868.35,2021-03-12,1951.53,1987.55,1929.25,1911.25,1893.24,1867.6,Final Target Reached,SELL
2021-03-30,1781.25,2021-03-25,1774.9,1730.6,1809.6,1834.0,1861.7,1888.5,Awaiting Targets,BUY
2021-04-01,1804.55,2021-03-25,1774.9,1730.6,1809.6,1834.0,1861.7,1888.5,Target 1 Reached,BUY
2021-04-16,1764.1,2021-04-16,1771.5,1753.1,1786.0,1796.2,1807.8,1819.0,Awaiting Targets, 
2021-04-20,1697.7,2021-04-16,1771.5,1753.1,1786.0,1796.2,1807.8,1819.0,Stop Loss has occured,BUY
2021-04-22,1736.05,2021-04-20,1710.1,1736.8,1693.6,1680.3,1666.9,1647.9,Target 2 Reached,SELL
2021-04-23,1734.2,2021-04-23,1736.2,1721.1,1748.1,1756.4,1765.8,1775.0,Awaiting Targets, 
2021-04-26,1759.65,2021-04-23,1736.2,1721.1,1748.1,1756.4,1765.8,1775.0,Final Target Reached,BUY
2021-05-19,1730.55,2021-05-18,1761.1,1741.1,1776.7,1787.8,1800.3,1812.4,Awaiting Targets,BUY
