Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,1297.0,2021-01-01,1290.73,1300.42,1284.74,1279.9,1275.05,1268.16,Awaiting Targets
2021-01-04,1314.6,2021-01-01,1290.73,1300.42,1284.74,1279.9,1275.05,1268.16,Stop Loss has occured
2021-01-12,1349.8,2021-01-12,1353.67,1371.87,1342.41,1333.31,1324.21,1311.26,Awaiting Targets, 
2021-01-13,1352.5,2021-01-12,1353.67,1371.87,1342.41,1333.31,1324.21,1311.26,Stop Loss has occured,SELL
2021-01-18,1336.05,2021-01-12,1353.67,1371.87,1342.41,1333.31,1324.21,1311.26,Target 2 Reached,SELL
2021-01-20,1382.65,2021-01-20,1376.81,1363.21,1387.49,1394.98,1403.5,1411.76,Awaiting Targets, 
2021-01-21,1371.3,2021-01-20,1376.81,1363.21,1387.49,1394.98,1403.5,1411.76,Target 2 Reached,BUY
2021-01-25,1361.3,2021-01-25,1367.42,1378.63,1360.48,1354.88,1349.28,1341.3,Awaiting Targets, 
2021-01-27,1359.85,2021-01-25,1367.42,1378.63,1360.48,1354.88,1349.28,1341.3,Final Target Reached,SELL
2021-02-11,1530.5,2021-02-11,1541.59,1592.94,1509.82,1484.14,1458.46,1421.9,Awaiting Targets, 
2021-02-18,1524.6,2021-02-17,1548.09,1535.7,1557.82,1564.65,1572.41,1579.94,Stop Loss has occured,BUY
2021-03-03,1496.9,2021-03-03,1495.44,1484.43,1504.08,1510.16,1517.05,1523.74,Awaiting Targets, 
2021-03-08,1515.2,2021-03-03,1495.44,1484.43,1504.08,1510.16,1517.05,1523.74,Final Target Reached,BUY
