Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,7691.3,2020-12-23,7449.99,7331.62,7542.92,7608.19,7682.31,7754.21,Target 3 Reached
2021-01-04,7702.3,2020-12-23,7449.99,7331.62,7542.92,7608.19,7682.31,7754.21,Final Target Reached
2021-01-05,7655.45,2021-01-05,7643.62,7728.86,7590.88,7548.26,7505.64,7444.96,Awaiting Targets
2021-01-06,7628.6,2021-01-05,7643.62,7728.86,7590.88,7548.26,7505.64,7444.96,Target 1 Reached
2021-01-11,1897.25,2020-12-31,1992.33,2031.68,1967.98,1948.3,1928.63,1900.61,Final Target Reached,SELL
2021-01-12,1957.05,2021-01-12,1929.99,1904.44,1950.05,1964.14,1980.14,1995.66,Awaiting Targets, 
2021-01-13,8139.85,2021-01-05,7643.62,7728.86,7590.88,7548.26,7505.64,7444.96,Target 1 Reached,SELL
2021-01-15,8024.75,2021-01-15,8100.36,8242.09,8012.68,7941.82,7870.95,7770.06,Awaiting Targets, 
2021-01-18,7830.65,2021-01-15,8100.36,8242.09,8012.68,7941.82,7870.95,7770.06,Final Target Reached,SELL
2021-01-21,8076.75,2021-01-21,8142.55,8041.01,8222.27,8278.26,8341.84,8403.53,Awaiting Targets, 
2021-01-22,2049.6,2021-01-12,1929.99,1904.44,1950.05,1964.14,1980.14,1995.66,Final Target Reached,BUY
2021-01-25,7981.5,2021-01-21,8142.55,8041.01,8222.27,8278.26,8341.84,8403.53,Target 2 Reached,BUY
2021-01-27,7870.9,2021-01-27,7943.59,8028.05,7891.33,7849.1,7806.87,7746.74,Awaiting Targets, 
2021-01-28,7588.5,2021-01-27,7943.59,8028.05,7891.33,7849.1,7806.87,7746.74,Final Target Reached,SELL
2021-02-03,7589.2,2021-02-02,7612.37,7411.64,7769.96,7880.64,8006.33,8128.27,Awaiting Targets,BUY
