Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,99.05,2020-12-30,98.99,99.84,98.46,98.04,97.62,97.01,Target 2 Reached
2021-01-04,99.05,2021-01-04,99.32,98.84,99.7,99.96,100.27,100.56,Awaiting Targets
2021-01-05,97.6,2021-01-04,99.32,98.84,99.7,99.96,100.27,100.56,Stop Loss has occured
2021-01-06,97.85,2021-01-06,98.02,98.73,97.58,97.23,96.88,96.37,Awaiting Targets
2021-01-07,97.0,2021-01-06,98.02,98.73,97.58,97.23,96.88,96.37,Target 3 Reached
2021-01-08,100.15,2021-01-08,98.9,98.44,99.26,99.52,99.8,100.08,Awaiting Targets
2021-01-11,99.0,2021-01-08,98.9,98.44,99.26,99.52,99.8,100.08,Final Target Reached,BUY
2021-01-15,100.45,2021-01-15,101.61,103.26,100.59,99.76,98.93,97.76,Awaiting Targets, 
2021-01-18,97.55,2021-01-15,101.61,103.26,100.59,99.76,98.93,97.76,Final Target Reached,SELL
2021-02-01,92.0,2021-02-01,90.54,87.23,93.13,94.96,97.03,99.03,Awaiting Targets, 
2021-02-02,94.15,2021-02-01,90.54,87.23,93.13,94.96,97.03,99.03,Target 2 Reached,BUY
2021-02-03,96.95,2021-02-01,90.54,87.23,93.13,94.96,97.03,99.03,Target 3 Reached,BUY
2021-02-04,99.05,2021-02-01,90.54,87.23,93.13,94.96,97.03,99.03,Final Target Reached,BUY
2021-02-08,100.3,2021-02-08,98.39,101.6,96.4,94.8,93.2,90.91,Awaiting Targets, 
2021-02-11,97.3,2021-02-08,98.39,101.6,96.4,94.8,93.2,90.91,Target 1 Reached,SELL
2021-02-12,95.95,2021-02-08,98.39,101.6,96.4,94.8,93.2,90.91,Target 2 Reached,SELL
2021-02-12,95.95,2021-02-08,98.39,101.6,96.4,94.8,93.2,90.91,Target 2 Reached,SELL
2021-02-17,99.35,2021-02-17,98.59,97.22,99.66,100.42,101.28,102.11,Awaiting Targets, 
2021-02-18,103.4,2021-02-17,98.59,97.22,99.66,100.42,101.28,102.11,Final Target Reached,BUY
2021-02-23,103.4,2021-02-23,102.57,104.89,101.13,99.97,98.8,97.15,Awaiting Targets, 
2021-02-26,107.3,2021-02-23,102.57,104.89,101.13,99.97,98.8,97.15,Stop Loss has occured,SELL
2021-03-05,108.7,2021-03-05,110.11,112.48,108.65,107.46,106.28,104.59,Awaiting Targets, 
2021-03-08,110.55,2021-03-05,110.11,112.48,108.65,107.46,106.28,104.59,Stop Loss has occured,SELL
2021-03-09,109.5,2021-03-05,110.11,112.48,108.65,107.46,106.28,104.59,Target 2 Reached,SELL
2021-03-15,110.5,2021-03-15,109.79,108.54,110.77,111.46,112.25,113.01,Awaiting Targets, 
2021-03-16,109.55,2021-03-15,109.79,108.54,110.77,111.46,112.25,113.01,Target 1 Reached,BUY
2021-03-17,106.55,2021-03-17,108.08,108.96,107.53,107.08,106.64,106.01,Awaiting Targets, 
2021-03-18,103.8,2021-03-17,108.1,109.0,107.5,107.1,106.6,106.0,Final Target Reached,SELL
2021-03-22,109.85,2021-03-22,109.0,107.3,110.4,111.3,112.4,113.5,Awaiting Targets, 
2021-03-24,106.0,2021-03-22,109.0,107.3,110.4,111.3,112.4,113.5,Stop Loss has occured,BUY
