Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,93.2,2021-01-01,93.6,94.44,93.08,92.66,92.25,91.65,Awaiting Targets
2021-01-04,96.95,2021-01-01,93.6,94.44,93.08,92.66,92.25,91.65,Stop Loss has occured
2021-01-15,101.4,2021-01-13,105.55,107.95,104.07,102.88,101.68,99.97,Target 3 Reached,SELL
2021-01-18,96.65,2021-01-13,105.55,107.95,104.07,102.88,101.68,99.97,Final Target Reached,SELL
2021-01-29,88.3,2021-01-29,89.94,85.85,93.15,95.4,97.96,100.44,Awaiting Targets, 
2021-02-02,92.85,2021-01-29,89.94,85.85,93.15,95.4,97.96,100.44,Target 1 Reached,BUY
2021-02-04,97.65,2021-01-29,89.94,85.85,93.15,95.4,97.96,100.44,Target 3 Reached,BUY
2021-02-08,99.65,2021-01-29,89.94,85.85,93.15,95.4,97.96,100.44,Final Target Reached,BUY
2021-02-10,100.0,2021-02-10,100.78,104.46,98.5,96.66,94.82,92.2,Awaiting Targets, 
2021-02-12,97.0,2021-02-10,100.78,104.46,98.5,96.66,94.82,92.2,Target 2 Reached,SELL
2021-02-22,106.3,2021-02-22,106.52,110.17,104.26,102.43,100.6,98.0,Awaiting Targets, 
2021-02-23,112.2,2021-02-22,106.52,110.17,104.26,102.43,100.6,98.0,Stop Loss has occured,SELL
2021-02-26,111.0,2021-02-26,113.74,116.47,112.05,110.69,109.32,107.38,Awaiting Targets, 
2021-03-01,117.05,2021-02-26,113.74,116.47,112.05,110.69,109.32,107.38,Stop Loss has occured,SELL
2021-03-08,118.25,2021-03-08,119.19,117.4,120.59,121.57,122.69,123.78,Awaiting Targets, 
2021-03-09,116.75,2021-03-08,119.19,117.4,120.59,121.57,122.69,123.78,Stop Loss has occured,BUY
2021-03-10,114.4,2021-03-10,115.48,117.4,114.29,113.32,112.36,110.99,Awaiting Targets, 
2021-03-15,114.35,2021-03-10,115.48,117.4,114.29,113.32,112.36,110.99,Target 2 Reached,SELL
2021-03-17,109.35,2021-03-17,111.93,110.95,112.71,113.25,113.87,114.46,Awaiting Targets, 
2021-03-18,110.2,2021-03-17,112.0,111.0,112.8,113.3,113.9,114.5,Target 2 Reached,BUY
2021-03-30,103.5,2021-03-30,104.1,102.2,105.6,106.6,107.9,109.0,Awaiting Targets, 
2021-03-31,102.15,2021-03-30,104.1,102.2,105.6,106.6,107.9,109.0,Stop Loss has occured,BUY
2021-04-08,103.6,2021-03-30,104.1,102.2,105.6,106.6,107.9,109.0,Target 1 Reached,BUY
2021-04-20,102.85,2021-04-20,103.3,104.8,102.5,101.8,101.1,100.1,Awaiting Targets, 
2021-04-22,103.1,2021-04-20,103.3,104.8,102.5,101.8,101.1,100.1,Target 2 Reached,SELL
2021-05-20,111.8,2021-05-11,115.0,116.6,114.0,113.1,112.3,111.1,Target 3 Reached,SELL
2021-05-21,112.75,2021-05-11,115.0,116.6,114.0,113.1,112.3,111.1,Final Target Reached,SELL
2021-05-25,114.6,2021-05-25,115.0,112.8,116.7,118.0,119.3,120.7,Awaiting Targets, 
2021-05-27,111.85,2021-05-25,115.0,112.8,116.7,118.0,119.3,120.7,Stop Loss has occured,BUY
