Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,1480.35,2020-12-30,1426.23,1449.27,1411.98,1400.45,1388.93,1372.53,Stop Loss has occured
2021-01-06,1415.45,2021-01-06,1425.34,1440.63,1415.88,1408.23,1400.58,1389.7,Awaiting Targets
2021-01-07,1496.85,2021-01-06,1425.34,1440.63,1415.88,1408.23,1400.58,1389.7,Stop Loss has occured
2021-01-08,1524.55,2021-01-08,1524.37,1495.88,1546.74,1562.46,1580.3,1597.61,Awaiting Targets
2021-01-11,1507.85,2021-01-08,1524.37,1495.88,1546.74,1562.46,1580.3,1597.61,Stop Loss has occured,BUY
2021-01-12,1564.5,2021-01-08,1524.37,1495.88,1546.74,1562.46,1580.3,1597.61,Target 3 Reached,BUY
2021-01-13,1567.15,2021-01-08,1524.37,1495.88,1546.74,1562.46,1580.3,1597.61,Final Target Reached,BUY
2021-01-18,1584.65,2021-01-18,1607.24,1651.15,1580.07,1558.12,1536.16,1504.9,Awaiting Targets, 
2021-01-20,1596.25,2021-01-18,1607.24,1651.15,1580.07,1558.12,1536.16,1504.9,Target 1 Reached,SELL
2021-01-21,1563.5,2021-01-18,1607.24,1651.15,1580.07,1558.12,1536.16,1504.9,Target 2 Reached,SELL
2021-01-22,1487.45,2021-01-18,1607.24,1651.15,1580.07,1558.12,1536.16,1504.9,Final Target Reached,SELL
2021-02-19,1840.5,2021-02-19,1854.88,1904.92,1823.92,1798.9,1773.88,1738.25,Awaiting Targets, 
2021-02-22,1807.25,2021-02-19,1854.88,1904.92,1823.92,1798.9,1773.88,1738.25,Target 3 Reached,SELL
2021-02-26,1829.25,2021-02-25,1913.95,1881.54,1939.39,1957.26,1977.56,1997.25,Target 1 Reached,BUY
2021-03-01,1879.3,2021-03-01,1885.55,1922.13,1862.92,1844.63,1826.34,1800.3,Awaiting Targets, 
2021-03-02,1918.7,2021-03-01,1885.55,1922.13,1862.92,1844.63,1826.34,1800.3,Stop Loss has occured,SELL
2021-03-05,1924.45,2021-03-03,1967.81,1948.42,1983.03,1993.72,2005.86,2017.64,Target 1 Reached,BUY
2021-03-08,1917.0,2021-03-08,1935.44,1961.6,1919.25,1906.17,1893.09,1874.46,Awaiting Targets, 
2021-03-09,1908.15,2021-03-08,1935.44,1961.6,1919.25,1906.17,1893.09,1874.46,Final Target Reached,SELL
2021-03-15,1863.25,2021-03-12,1934.77,1912.73,1952.08,1964.23,1978.03,1991.42,Awaiting Targets,BUY
