Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-03-16,224.45,2021-03-12,218.01,215.28,220.15,221.66,223.36,225.02,Final Target Reached
2021-03-18,221.05,2021-03-18,221.4,224.2,219.7,218.3,216.9,214.9,Awaiting Targets, 
2021-03-19,230.2,2021-03-18,221.4,224.2,219.7,218.3,216.9,214.9,Target 1 Reached,SELL
2021-03-24,221.05,2021-03-18,221.4,224.2,219.7,218.3,216.9,214.9,Target 3 Reached,SELL
2021-03-26,214.6,2021-03-18,221.4,224.2,219.7,218.3,216.9,214.9,Final Target Reached,SELL
2021-03-30,221.35,2021-03-30,219.3,214.6,223.0,225.7,228.7,231.5,Awaiting Targets, 
2021-04-06,209.2,2021-04-05,215.5,217.6,214.1,213.1,212.0,210.5,Final Target Reached,SELL
2021-04-13,208.75,2021-04-13,206.5,202.1,209.9,212.4,215.1,217.8,Awaiting Targets, 
2021-04-15,207.8,2021-04-13,206.5,202.1,209.9,212.4,215.1,217.8,Target 1 Reached,BUY
2021-04-16,209.85,2021-04-13,206.5,202.1,209.9,212.4,215.1,217.8,Target 2 Reached,BUY
2021-04-26,215.8,2021-04-13,206.5,202.1,209.9,212.4,215.1,217.8,Target 3 Reached,BUY
2021-05-20,228.95,2021-05-20,231.6,237.4,227.9,225.0,222.1,217.9,Awaiting Targets, 
2021-05-21,227.95,2021-05-20,231.6,237.4,227.9,225.0,222.1,217.9,Target 1 Reached,SELL
