Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-03-18,222.95,2021-03-09,247.0,250.8,244.7,242.8,241.0,238.3,Final Target Reached
2021-03-22,225.25,2021-03-22,226.8,218.4,233.4,238.0,243.3,248.4,Awaiting Targets, 
2021-03-24,215.9,2021-03-22,226.8,218.4,233.4,238.0,243.3,248.4,Stop Loss has occured,BUY
2021-04-08,213.25,2021-04-01,213.1,208.8,216.4,218.7,221.4,224.0,Target 2 Reached,BUY
2021-04-13,193.65,2021-04-12,195.6,199.3,193.3,191.4,189.6,187.0,Final Target Reached,SELL
2021-04-23,178.2,2021-04-23,177.5,168.2,184.8,189.9,195.7,201.3,Awaiting Targets, 
2021-04-26,184.2,2021-04-23,177.5,168.2,184.8,189.9,195.7,201.3,Target 1 Reached,BUY
2021-05-20,204.25,2021-05-12,187.3,189.8,185.7,184.5,183.2,181.4,Stop Loss has occured,SELL
2021-05-26,207.85,2021-05-26,206.8,212.5,203.3,200.4,197.6,193.5,Awaiting Targets, 
2021-05-28,216.25,2021-05-26,206.8,212.5,203.3,200.4,197.6,193.5,Stop Loss has occured,SELL
2021-06-01,211.3,2021-06-01,213.2,214.4,212.5,211.9,211.3,210.4,Awaiting Targets, 
2021-06-02,221.15,2021-06-01,213.2,214.4,212.5,211.9,211.3,210.4,Final Target Reached,SELL
2021-06-11,218.25,2021-06-10,216.8,213.9,219.1,220.8,222.6,224.4,Target 2 Reached,BUY
2021-06-24,207.45,2021-06-22,212.0,208.0,215.2,217.4,220.0,222.4,Awaiting Targets,BUY
2022-05-16,116.55,2022-05-11,110.3,108.6,111.7,112.7,113.8,114.8,Final Target Reached,BUY
2022-05-20,117.05,2022-05-19,114.6,120.2,111.2,108.4,105.6,101.6,Awaiting Targets,SELL
