Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,1987.5,2020-12-31,1992.33,2031.68,1967.98,1948.3,1928.63,1900.61,Awaiting Targets
2021-01-05,1966.1,2020-12-31,1992.33,2031.68,1967.98,1948.3,1928.63,1900.61,Target 1 Reached
2021-01-06,1914.25,2020-12-31,1992.33,2031.68,1967.98,1948.3,1928.63,1900.61,Target 3 Reached
2021-01-11,1897.25,2020-12-31,1992.33,2031.68,1967.98,1948.3,1928.63,1900.61,Final Target Reached,SELL
2021-01-12,1957.05,2021-01-12,1929.99,1904.44,1950.05,1964.14,1980.14,1995.66,Awaiting Targets, 
2021-01-13,1938.8,2021-01-12,1929.99,1904.44,1950.05,1964.14,1980.14,1995.66,Target 2 Reached,BUY
2021-01-18,1983.95,2021-01-12,1929.99,1904.44,1950.05,1964.14,1980.14,1995.66,Final Target Reached,BUY
2021-02-02,1925.8,2021-02-01,1876.92,1826.76,1916.3,1943.97,1975.38,2005.85,Target 1 Reached,BUY
2021-02-03,1930.65,2021-02-01,1876.92,1826.76,1916.3,1943.97,1975.38,2005.85,Target 2 Reached,BUY
2021-02-09,1956.15,2021-02-01,1876.92,1826.76,1916.3,1943.97,1975.38,2005.85,Target 3 Reached,BUY
2021-02-10,1974.3,2021-02-10,1960.02,1993.44,1939.35,1922.64,1905.93,1882.14,Awaiting Targets, 
2021-02-18,2067.7,2021-02-10,1960.02,1993.44,1939.35,1922.64,1905.93,1882.14,Stop Loss has occured,SELL
2021-02-19,2080.3,2021-02-19,2073.89,2102.66,2056.09,2041.71,2027.32,2006.84,Awaiting Targets, 
2021-02-22,2008.1,2021-02-19,2073.89,2102.66,2056.09,2041.71,2027.32,2006.84,Final Target Reached,SELL
2021-02-26,2085.8,2021-02-25,2111.34,2087.8,2129.82,2142.8,2157.54,2171.84,Target 1 Reached,BUY
2021-03-03,2202.1,2021-02-25,2111.34,2087.8,2129.82,2142.8,2157.54,2171.84,Final Target Reached,BUY
2021-03-09,2191.05,2021-03-09,2187.86,2211.3,2173.36,2161.64,2149.92,2133.23,Awaiting Targets, 
2021-03-10,2181.95,2021-03-09,2187.86,2211.3,2173.36,2161.64,2149.92,2133.23,Target 1 Reached,SELL
2021-03-15,2108.9,2021-03-09,2187.86,2211.3,2173.36,2161.64,2149.92,2133.23,Final Target Reached,SELL
2021-03-19,2082.0,2021-03-19,2037.9,1992.1,2073.9,2099.2,2127.8,2155.7,Awaiting Targets, 
2021-03-22,2062.4,2021-03-19,2037.9,1992.1,2073.9,2099.2,2127.8,2155.7,Target 1 Reached,BUY
2021-03-24,2047.3,2021-03-19,2037.9,1992.1,2073.9,2099.2,2127.8,2155.7,Target 2 Reached,BUY
2021-03-30,2029.3,2021-03-26,1998.6,2028.5,1980.0,1965.0,1950.1,1928.8,Stop Loss has occured,SELL
2021-04-01,2021.85,2021-04-01,2018.2,2001.9,2031.0,2040.0,2050.2,2060.1,Awaiting Targets, 
2021-04-08,2005.35,2021-04-07,2010.7,2002.0,2017.6,2022.4,2027.9,2033.2,Target 1 Reached,BUY
2021-04-15,1944.3,2021-04-12,1932.9,1948.7,1923.1,1915.2,1907.4,1896.1,Target 2 Reached,SELL
2021-04-16,1932.1,2021-04-16,1936.2,1915.0,1952.8,1964.5,1977.8,1990.6,Awaiting Targets, 
2021-04-20,1901.15,2021-04-19,1903.1,1908.6,1899.6,1896.9,1894.1,1890.2,Target 3 Reached,SELL
2021-04-22,1906.4,2021-04-19,1903.1,1908.6,1899.6,1896.9,1894.1,1890.2,Final Target Reached,SELL
2021-04-23,1904.35,2021-04-23,1906.1,1892.8,1916.6,1923.9,1932.3,1940.4,Awaiting Targets, 
2021-04-26,1937.85,2021-04-23,1906.1,1892.8,1916.6,1923.9,1932.3,1940.4,Final Target Reached,BUY
2021-05-24,1985.65,2021-05-21,1997.6,2023.6,1981.5,1968.4,1955.4,1936.8,Awaiting Targets,SELL
2021-05-25,1963.15,2021-05-21,1997.6,2023.6,1981.5,1968.4,1955.4,1936.8,Target 2 Reached,SELL
