Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-03-16,914.05,2021-02-25,874.55,869.59,878.45,881.19,884.3,887.31,Final Target Reached
2021-03-19,906.7,2021-03-19,896.7,877.1,912.1,923.0,935.2,947.2,Awaiting Targets, 
2021-03-24,880.7,2021-03-19,896.7,877.1,912.1,923.0,935.2,947.2,Stop Loss has occured,BUY
2021-03-31,880.85,2021-03-31,879.7,872.7,885.2,889.1,893.5,897.8,Awaiting Targets, 
2021-04-01,883.45,2021-03-31,879.7,872.7,885.2,889.1,893.5,897.8,Target 2 Reached,BUY
2021-04-06,897.55,2021-03-31,879.7,872.7,885.2,889.1,893.5,897.8,Final Target Reached,BUY
2021-04-13,897.8,2021-04-12,886.7,900.1,878.5,871.8,865.1,855.6,Target 1 Reached,SELL
2021-04-20,898.95,2021-04-16,914.1,904.8,921.4,926.6,932.4,938.0,Target 2 Reached,BUY
2021-04-22,914.4,2021-04-22,907.5,917.6,901.3,896.3,891.3,884.1,Awaiting Targets, 
2021-04-23,922.85,2021-04-22,907.5,917.6,901.3,896.3,891.3,884.1,Target 1 Reached,SELL
2021-04-26,942.5,2021-04-26,931.2,921.2,939.0,944.6,950.9,956.9,Awaiting Targets, 
2021-04-26,942.5,2021-04-26,931.2,921.2,939.0,944.6,950.9,956.9,Awaiting Targets, 
2021-05-20,969.15,2021-05-19,972.3,960.3,981.8,988.4,996.0,1003.3,Target 1 Reached,BUY
2021-05-25,965.3,2021-05-25,967.0,972.6,963.6,960.8,957.9,953.9,Awaiting Targets, 
2021-05-27,982.1,2021-05-26,972.5,970.4,974.1,975.2,976.4,977.7,Final Target Reached,BUY
2021-06-01,966.3,2021-06-01,971.7,976.8,968.6,966.1,963.5,959.9,Awaiting Targets, 
2021-06-02,984.4,2021-06-01,971.7,976.8,968.6,966.1,963.5,959.9,Target 3 Reached,SELL
