Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,279.4,2020-12-31,274.95,280.68,271.4,268.53,265.66,261.58,Awaiting Targets
2021-01-04,281.05,2020-12-31,274.95,280.68,271.4,268.53,265.66,261.58,Stop Loss has occured
2021-01-11,282.5,2021-01-11,284.58,286.04,283.67,282.94,282.21,281.17,Awaiting Targets, 
2021-01-12,292.5,2021-01-11,284.58,286.04,283.67,282.94,282.21,281.17,Final Target Reached,SELL
2021-01-18,294.45,2021-01-14,306.75,300.31,311.81,315.36,319.39,323.31,Stop Loss has occured,BUY
2021-01-19,298.6,2021-01-19,298.79,303.2,296.06,293.85,291.64,288.5,Awaiting Targets, 
2021-01-20,302.55,2021-01-19,298.79,303.2,296.06,293.85,291.64,288.5,Stop Loss has occured,SELL
2021-01-21,294.85,2021-01-19,298.79,303.2,296.06,293.85,291.64,288.5,Target 3 Reached,SELL
2021-01-22,283.7,2021-01-19,298.79,303.2,296.06,293.85,291.64,288.5,Final Target Reached,SELL
2021-02-11,390.15,2021-02-10,393.05,423.55,374.18,358.92,343.67,321.96,Awaiting Targets,SELL
2021-02-18,415.2,2021-02-10,393.05,423.55,374.18,358.92,343.67,321.96,Stop Loss has occured,SELL
2021-02-19,399.55,2021-02-19,406.14,412.64,402.12,398.86,395.61,390.99,Awaiting Targets, 
2021-02-22,389.5,2021-02-19,406.14,412.64,402.12,398.86,395.61,390.99,Final Target Reached,SELL
