Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,23950.3,2021-01-01,24035.45,24302.25,23870.4,23737.0,23603.6,23413.68,Awaiting Targets
2021-01-04,24034.2,2021-01-01,24035.45,24302.25,23870.4,23737.0,23603.6,23413.68,Target 1 Reached
2021-01-05,23895.5,2021-01-01,24035.45,24302.25,23870.4,23737.0,23603.6,23413.68,Target 2 Reached
2021-01-06,24824.35,2021-01-06,24426.44,24303.3,24523.1,24591.0,24668.1,24742.91,Awaiting Targets
2021-01-07,25002.15,2021-01-06,24426.43,24303.29,24523.09,24590.99,24668.09,24742.9,Final Target Reached
2021-01-13,24726.4,2021-01-13,25119.73,25622.29,24808.82,24557.54,24306.26,23948.5,Awaiting Targets, 
2021-01-14,24855.6,2021-01-13,25119.73,25622.29,24808.82,24557.54,24306.26,23948.5,Target 2 Reached,SELL
2021-01-15,24413.8,2021-01-13,25119.73,25622.29,24808.82,24557.54,24306.26,23948.5,Target 3 Reached,SELL
2021-01-15,24413.8,2021-01-13,25119.73,25622.29,24808.82,24557.54,24306.26,23948.5,Target 3 Reached,SELL
2021-01-18,23846.9,2021-01-13,25119.73,25622.29,24808.82,24557.54,24306.26,23948.5,Final Target Reached,SELL
2021-01-20,23979.95,2021-01-20,24188.9,23763.04,24523.22,24758.04,25024.7,25283.4,Awaiting Targets, 
2021-01-21,23719.0,2021-01-20,24188.9,23763.04,24523.22,24758.04,25024.7,25283.4,Stop Loss has occured,BUY
2021-02-01,24543.6,2021-02-01,23761.5,23416.75,24032.15,24222.25,24438.12,24647.55,Awaiting Targets, 
2021-02-02,26432.55,2021-02-01,23761.5,23416.75,24032.15,24222.25,24438.12,24647.55,Final Target Reached,BUY
2021-02-12,27965.85,2021-02-12,28110.21,28268.28,28012.42,27933.39,27854.35,27741.83,Awaiting Targets, 
2021-02-15,28653.25,2021-02-12,28110.21,28268.28,28012.42,27933.39,27854.35,27741.83,Stop Loss has occured,SELL
2021-02-18,27623.35,2021-02-12,28110.21,28268.28,28012.42,27933.39,27854.35,27741.83,Final Target Reached,SELL
2021-02-26,26501.7,2021-02-25,27530.53,26976.27,27965.65,28271.27,28618.33,28955.03,Stop Loss has occured,BUY
2021-03-03,27695.25,2021-02-25,27530.53,26976.27,27965.65,28271.27,28618.33,28955.03,Target 1 Reached,BUY
2021-03-04,28676.6,2021-02-25,27530.53,26976.27,27965.65,28271.27,28618.33,28955.03,Target 3 Reached,BUY
2021-03-05,27848.6,2021-03-05,28196.23,28828.73,27804.93,27488.68,27172.43,26722.17,Awaiting Targets, 
2021-03-08,27185.05,2021-03-05,28196.23,28828.73,27804.93,27488.68,27172.43,26722.17,Target 3 Reached,SELL
2021-03-15,27644.55,2021-03-15,27577.78,27192.23,27880.46,28093.06,28334.48,28568.69,Awaiting Targets, 
2021-03-16,27430.8,2021-03-15,27577.78,27192.23,27880.46,28093.06,28334.48,28568.69,Target 1 Reached,BUY
2021-03-22,26954.5,2021-03-18,26860.1,27152.2,26679.5,26533.5,26387.5,26179.6,Final Target Reached,SELL
2021-04-20,29320.7,2021-04-19,30026.6,29484.3,30452.3,30751.3,31090.9,31420.3,Target 1 Reached,BUY
