Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,596.25,2020-12-30,588.87,597.38,583.61,579.36,575.11,569.05,Target 1 Reached
2021-01-07,601.9,2021-01-07,603.49,606.98,601.33,599.58,597.83,595.35,Awaiting Targets
2021-01-08,620.8,2021-01-07,603.49,606.98,601.33,599.58,597.83,595.35,Stop Loss has occured
2021-01-13,602.3,2021-01-07,603.49,606.98,601.33,599.58,597.83,595.35,Target 3 Reached,SELL
2021-01-18,581.45,2021-01-07,603.49,606.98,601.33,599.58,597.83,595.35,Final Target Reached,SELL
2021-01-20,947.7,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 1 Reached,SELL
2021-01-25,586.4,2021-01-22,578.91,584.33,575.56,572.86,570.15,566.29,Target 3 Reached,SELL
2021-01-27,569.8,2021-01-22,578.91,584.33,575.56,572.86,570.15,566.29,Final Target Reached,SELL
2021-02-09,623.6,2021-02-09,628.94,652.07,614.63,603.07,591.51,575.04,Awaiting Targets, 
2021-02-10,627.1,2021-02-09,628.94,652.07,614.63,603.07,591.51,575.04,Target 1 Reached,SELL
2021-02-19,607.3,2021-02-09,628.94,652.07,614.63,603.07,591.51,575.04,Target 2 Reached,SELL
2021-02-22,595.3,2021-02-09,628.94,652.07,614.63,603.07,591.51,575.04,Target 3 Reached,SELL
2021-02-24,601.45,2021-02-22,601.13,589.75,610.07,616.35,623.48,630.39,Awaiting Targets,BUY
2021-02-26,594.6,2021-02-22,601.13,589.75,610.07,616.35,623.48,630.39,Target 2 Reached,BUY
2021-03-03,624.35,2021-02-22,601.13,589.75,610.07,616.35,623.48,630.39,Target 3 Reached,BUY
2021-03-04,618.95,2021-02-22,601.13,589.75,610.07,616.35,623.48,630.39,Final Target Reached,BUY
2021-03-08,614.8,2021-03-05,614.25,625.28,607.42,601.9,596.39,588.53,Awaiting Targets,SELL
2021-03-10,626.0,2021-03-05,614.25,625.28,607.42,601.9,596.39,588.53,Stop Loss has occured,SELL
2021-03-15,605.5,2021-03-12,620.56,616.07,624.09,626.57,629.38,632.11,Awaiting Targets,BUY
2021-03-24,585.3,2021-03-22,585.4,574.4,594.0,600.1,607.0,613.7,Target 1 Reached,BUY
2021-03-26,587.2,2021-03-26,583.3,589.3,579.6,576.6,573.5,569.3,Awaiting Targets, 
2021-03-31,597.8,2021-03-30,594.8,591.4,597.4,599.2,601.4,603.4,Final Target Reached,BUY
2021-04-08,614.25,2021-04-06,613.7,620.6,609.4,605.9,602.5,597.5,Target 1 Reached,SELL
2021-04-22,639.95,2021-04-22,646.7,654.5,641.8,637.9,634.0,628.4,Awaiting Targets, 
2021-04-23,637.95,2021-04-22,646.7,654.5,641.8,637.9,634.0,628.4,Target 3 Reached,SELL
2021-05-20,686.85,2021-05-20,693.4,686.8,698.6,702.2,706.4,710.4,Awaiting Targets, 
2021-05-25,696.1,2021-05-24,692.5,696.4,690.1,688.1,686.2,683.4,Stop Loss has occured,SELL
2021-05-28,669.75,2021-05-24,692.5,696.4,690.1,688.1,686.2,683.4,Final Target Reached,SELL
