Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,186.5,2020-12-21,170.15,171.88,169.07,168.2,167.34,166.1,Final Target Reached
2021-01-05,193.2,2021-01-05,189.81,191.79,188.59,187.6,186.61,185.2,Awaiting Targets
2021-01-06,195.4,2021-01-05,189.81,191.79,188.59,187.6,186.61,185.2,Stop Loss has occured
2021-02-02,322.0,2021-02-02,308.72,296.37,318.41,325.22,332.96,340.46,Awaiting Targets, 
2021-02-03,331.0,2021-02-02,308.72,296.37,318.41,325.22,332.96,340.46,Final Target Reached,BUY
2021-02-08,335.95,2021-02-08,327.99,344.74,317.62,309.25,300.87,288.95,Awaiting Targets, 
2021-02-17,330.15,2021-02-16,332.51,327.96,336.08,338.58,341.43,344.2,Stop Loss has occured,BUY
2021-02-18,323.85,2021-02-18,327.05,329.99,325.23,323.76,322.3,320.2,Awaiting Targets, 
2021-02-19,311.85,2021-02-18,327.05,329.99,325.23,323.76,322.3,320.2,Final Target Reached,SELL
2021-02-24,321.65,2021-02-24,323.28,316.79,328.38,331.96,336.03,339.98,Awaiting Targets, 
2021-02-26,322.95,2021-02-24,323.28,316.79,328.38,331.96,336.03,339.98,Target 2 Reached,BUY
2021-03-02,345.75,2021-02-24,323.28,316.79,328.38,331.96,336.03,339.98,Final Target Reached,BUY
2021-03-04,339.2,2021-03-04,340.22,346.13,336.57,333.62,330.66,326.46,Awaiting Targets, 
2021-03-05,325.15,2021-03-04,340.22,346.13,336.57,333.62,330.66,326.46,Final Target Reached,SELL
2021-03-15,318.55,2021-03-12,320.81,313.15,326.83,331.05,335.85,340.5,Stop Loss has occured,BUY
2021-03-24,294.45,2021-03-22,304.3,299.6,308.0,310.6,313.5,316.4,Target 2 Reached,BUY
2021-03-26,296.4,2021-03-25,289.0,293.4,286.2,283.9,281.7,278.5,Awaiting Targets,SELL
2021-03-31,301.8,2021-03-30,297.9,293.4,301.3,303.7,306.5,309.2,Target 3 Reached,BUY
2021-04-01,307.75,2021-03-30,297.9,293.4,301.3,303.7,306.5,309.2,Final Target Reached,BUY
2021-04-08,313.95,2021-04-07,307.6,312.6,304.5,302.0,299.6,296.0,Stop Loss has occured,SELL
2021-04-13,302.85,2021-04-07,307.6,312.6,304.5,302.0,299.6,296.0,Final Target Reached,SELL
2021-04-16,310.0,2021-04-16,306.8,297.2,314.2,319.5,325.4,331.2,Awaiting Targets, 
2021-04-20,298.05,2021-04-16,306.8,297.2,314.2,319.5,325.4,331.2,Stop Loss has occured,BUY
2021-04-22,294.55,2021-04-22,295.9,301.1,292.6,290.0,287.4,283.7,Awaiting Targets, 
2021-04-23,294.0,2021-04-22,295.9,301.1,292.6,290.0,287.4,283.7,Target 1 Reached,SELL
2021-05-20,307.7,2021-05-12,323.8,331.0,319.3,315.7,312.1,307.0,Final Target Reached,SELL
2021-05-25,315.25,2021-05-25,315.9,309.4,321.1,324.7,328.8,332.7,Awaiting Targets, 
2021-05-27,318.6,2021-05-25,315.9,309.4,321.1,324.7,328.8,332.7,Target 1 Reached,BUY
2021-05-31,318.75,2021-05-31,317.3,319.9,315.8,314.5,313.2,311.4,Awaiting Targets, 
2021-06-01,318.1,2021-05-31,317.3,319.9,315.8,314.5,313.2,311.4,Stop Loss has occured,SELL
