Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,977.95,2020-12-23,948.86,936.26,958.76,965.71,973.6,981.26,Final Target Reached
2021-01-06,997.15,2021-01-06,1002.63,1008.72,998.86,995.81,992.76,988.42,Awaiting Targets
2021-01-07,994.75,2021-01-06,1002.63,1008.72,998.86,995.81,992.76,988.42,Target 3 Reached
2021-01-14,1052.6,2021-01-14,1052.65,1068.41,1042.9,1035.02,1027.14,1015.92,Awaiting Targets, 
2021-01-15,1007.3,2021-01-14,1052.65,1068.41,1042.9,1035.02,1027.14,1015.92,Final Target Reached,SELL
2021-01-20,947.7,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 1 Reached,SELL
2021-01-21,1004.7,2021-01-21,1014.64,998.2,1027.54,1036.6,1046.89,1056.88,Awaiting Targets, 
2021-01-22,980.85,2021-01-21,1014.64,998.2,1027.54,1036.6,1046.89,1056.88,Stop Loss has occured,BUY
2021-01-25,972.05,2021-01-21,1014.64,998.2,1027.54,1036.6,1046.89,1056.88,Awaiting Targets,BUY
2021-01-29,961.4,2021-01-28,981.65,974.96,986.9,990.58,994.77,998.83,Target 3 Reached,BUY
2021-02-01,941.75,2021-02-01,946.67,956.09,940.85,936.14,931.43,924.73,Awaiting Targets, 
2021-02-03,981.45,2021-02-02,955.65,942.9,965.66,972.69,980.67,988.41,Final Target Reached,BUY
2021-02-08,982.55,2021-02-08,976.47,991.22,967.34,959.97,952.6,942.1,Awaiting Targets, 
2021-02-09,975.1,2021-02-08,976.47,991.22,967.34,959.97,952.6,942.1,Target 1 Reached,SELL
2021-02-10,974.9,2021-02-08,976.47,991.22,967.34,959.97,952.6,942.1,Target 2 Reached,SELL
2021-02-15,979.2,2021-02-12,994.11,985.08,1001.2,1006.18,1011.83,1017.32,Stop Loss has occured,BUY
2021-02-17,980.45,2021-02-17,984.36,992.74,979.18,974.99,970.8,964.84,Awaiting Targets, 
2021-02-18,1010.6,2021-02-17,984.36,992.74,979.18,974.99,970.8,964.84,Stop Loss has occured,SELL
2021-02-19,993.95,2021-02-19,999.87,990.43,1007.28,1012.48,1018.39,1024.12,Awaiting Targets, 
2021-02-22,950.7,2021-02-19,999.87,990.43,1007.28,1012.48,1018.39,1024.12,Target 1 Reached,BUY
2021-02-23,945.75,2021-02-23,947.88,966.12,936.59,927.47,918.35,905.36,Awaiting Targets, 
2021-02-24,960.05,2021-02-23,947.88,966.12,936.59,927.47,918.35,905.36,Stop Loss has occured,SELL
2021-02-26,918.85,2021-02-23,947.88,966.12,936.59,927.47,918.35,905.36,Target 3 Reached,SELL
2021-03-01,936.0,2021-03-01,938.7,923.58,950.58,958.92,968.39,977.57,Awaiting Targets, 
2021-03-02,967.1,2021-03-01,938.7,923.58,950.58,958.92,968.39,977.57,Target 3 Reached,BUY
2021-03-03,976.0,2021-03-01,938.7,923.58,950.58,958.92,968.39,977.57,Final Target Reached,BUY
2021-03-08,968.5,2021-03-08,968.38,984.51,958.4,950.34,942.27,930.79,Awaiting Targets, 
2021-03-09,988.15,2021-03-08,968.38,984.51,958.4,950.34,942.27,930.79,Stop Loss has occured,SELL
2021-03-18,996.2,2021-03-18,1011.0,1027.8,1000.5,992.1,983.7,971.7,Awaiting Targets, 
2021-03-19,989.45,2021-03-18,1011.0,1027.8,1000.5,992.1,983.7,971.7,Target 3 Reached,SELL
2021-03-24,992.15,2021-03-24,999.2,986.4,1009.2,1016.3,1024.3,1032.1,Awaiting Targets, 
2021-03-25,968.7,2021-03-24,999.2,986.4,1009.2,1016.3,1024.3,1032.1,Stop Loss has occured,BUY
2021-03-26,991.0,2021-03-26,985.9,997.6,978.7,972.9,967.1,958.8,Awaiting Targets, 
2021-03-31,991.45,2021-03-30,1005.0,1000.5,1008.4,1010.9,1013.7,1016.4,Final Target Reached,BUY
2021-04-06,991.35,2021-04-05,993.8,1002.5,988.4,984.0,979.6,973.4,Stop Loss has occured,SELL
2021-04-08,1029.0,2021-04-08,1023.0,1016.6,1028.0,1031.5,1035.5,1039.4,Awaiting Targets, 
2021-04-09,1053.0,2021-04-08,1023.0,1016.6,1028.0,1031.5,1035.5,1039.4,Final Target Reached,BUY
2021-04-15,993.15,2021-04-15,993.3,1011.2,982.2,973.2,964.3,951.5,Awaiting Targets, 
2021-04-20,983.4,2021-04-15,993.3,1011.2,982.2,973.2,964.3,951.5,Target 1 Reached,SELL
2021-04-22,967.8,2021-04-15,993.3,1011.2,982.2,973.2,964.3,951.5,Target 3 Reached,SELL
2021-04-23,950.2,2021-04-15,993.3,1011.2,982.2,973.2,964.3,951.5,Final Target Reached,SELL
2021-06-02,1016.95,2021-06-02,1014.0,1023.2,1008.3,1003.7,999.1,992.5,Awaiting Targets, 
2021-06-04,1019.2,2021-06-02,1014.0,1023.2,1008.3,1003.7,999.1,992.5,Target 1 Reached,SELL
