Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-03-16,1500.95,2021-03-05,1473.6,1486.36,1465.7,1459.32,1452.93,1443.85,Target 3 Reached
2021-03-19,1465.45,2021-03-05,1473.6,1486.4,1465.7,1459.3,1452.9,1443.8,Final Target Reached,SELL
2021-03-24,1488.15,2021-03-23,1481.1,1466.6,1492.4,1500.4,1509.4,1518.2,Target 2 Reached,BUY
2021-03-26,1505.85,2021-03-23,1481.1,1466.6,1492.4,1500.4,1509.4,1518.2,Target 3 Reached,BUY
2021-03-30,1552.2,2021-03-23,1481.1,1466.6,1492.4,1500.4,1509.4,1518.2,Final Target Reached,BUY
2021-04-06,1525.5,2021-04-05,1533.8,1568.1,1512.5,1495.3,1478.2,1453.7,Target 1 Reached,SELL
2021-04-15,1538.55,2021-04-13,1532.3,1559.6,1515.4,1501.7,1488.1,1468.6,Awaiting Targets,SELL
2021-04-16,1549.05,2021-04-13,1532.3,1559.6,1515.4,1501.7,1488.1,1468.6,Stop Loss has occured,SELL
2021-04-20,1522.9,2021-04-19,1519.0,1509.6,1526.5,1531.7,1537.6,1543.4,Final Target Reached,BUY
2021-05-24,1520.75,2021-05-24,1523.4,1553.6,1504.7,1489.5,1474.4,1452.8,Awaiting Targets, 
2021-05-28,1577.0,2021-05-27,1589.6,1566.4,1607.8,1620.6,1635.2,1649.3,Target 1 Reached,BUY
2021-05-31,1596.25,2021-05-31,1586.0,1597.2,1579.1,1573.4,1567.8,1559.8,Awaiting Targets, 
2021-06-01,1591.4,2021-05-31,1586.0,1597.2,1579.1,1573.4,1567.8,1559.8,Stop Loss has occured,SELL
2021-06-02,1585.7,2021-05-31,1586.0,1597.2,1579.1,1573.4,1567.8,1559.8,Target 3 Reached,SELL
2021-06-24,1780.85,2021-06-22,1756.5,1743.0,1767.0,1774.5,1782.9,1791.1,Final Target Reached,BUY
2022-05-16,2109.6,2022-05-12,2072.5,1986.2,2140.3,2187.8,2241.9,2294.3,Target 1 Reached,BUY
2022-05-16,153.5,2022-05-10,157.4,159.9,155.9,154.7,153.4,151.7,Target 3 Reached,SELL
2022-05-16,3284.9,2022-05-12,3209.8,3212.3,3208.3,3207.1,3205.8,3204.1,Awaiting Targets,SELL
2022-05-16,2109.6,2022-05-12,2072.5,1986.2,2140.3,2187.8,2241.9,2294.3,Target 1 Reached,BUY
2022-05-20,2137.05,2022-05-20,2140.4,2177.9,2117.3,2098.5,2079.8,2053.1,Awaiting Targets, 
