Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,5290.8,2020-12-28,5103.23,5033.78,5157.76,5196.06,5239.54,5281.74,Final Target Reached
2021-01-05,5341.2,2021-01-05,5323.79,5348.57,5308.46,5296.07,5283.68,5266.03,Awaiting Targets
2021-01-06,5448.35,2021-01-05,5323.79,5348.57,5308.46,5296.07,5283.68,5266.03,Target 1 Reached
2021-01-15,5452.25,2021-01-15,5530.44,5587.55,5495.11,5466.55,5438.0,5397.34,Awaiting Targets, 
2021-01-18,5386.0,2021-01-15,5530.44,5587.55,5495.11,5466.55,5438.0,5397.34,Final Target Reached,SELL
2021-01-22,5534.8,2021-01-21,5575.21,5504.53,5630.7,5669.68,5713.94,5756.88,Stop Loss has occured,BUY
2021-01-25,5368.4,2021-01-21,5575.21,5504.53,5630.7,5669.68,5713.94,5756.88,Final Target Reached,BUY
2021-01-27,5404.85,2021-01-27,5408.77,5527.99,5335.02,5275.42,5215.81,5130.94,Awaiting Targets, 
2021-01-29,5327.25,2021-01-27,5408.77,5527.99,5335.02,5275.42,5215.81,5130.94,Target 1 Reached,SELL
2021-02-01,5744.15,2021-02-01,5545.35,5488.47,5590.01,5621.37,5656.99,5691.55,Awaiting Targets, 
2021-02-02,6123.55,2021-02-01,5545.35,5488.47,5590.01,5621.37,5656.99,5691.55,Final Target Reached,BUY
2021-02-11,6427.15,2021-02-10,6435.84,6724.94,6256.99,6112.44,5967.89,5762.09,Awaiting Targets,SELL
2021-02-19,6208.5,2021-02-10,6435.84,6724.94,6256.99,6112.44,5967.89,5762.09,Target 1 Reached,SELL
2021-02-22,6175.1,2021-02-10,6435.84,6724.94,6256.99,6112.44,5967.89,5762.09,Target 2 Reached,SELL
2021-02-24,6414.55,2021-02-24,6348.38,6245.59,6429.08,6485.76,6550.13,6612.58,Awaiting Targets, 
2021-02-26,6115.0,2021-02-24,6348.38,6245.59,6429.08,6485.76,6550.13,6612.58,Target 2 Reached,BUY
2021-03-01,6365.05,2021-03-01,6286.07,6387.31,6223.43,6172.81,6122.19,6050.12,Awaiting Targets, 
2021-03-09,6697.4,2021-03-08,6749.46,6890.76,6662.05,6591.4,6520.75,6420.17,Target 1 Reached,SELL
2021-03-15,6561.45,2021-03-08,6749.46,6890.76,6662.05,6591.4,6520.75,6420.17,Target 3 Reached,SELL
2021-03-19,6672.0,2021-03-19,6560.1,6477.3,6625.1,6670.8,6722.6,6772.9,Awaiting Targets, 
2021-03-22,6728.0,2021-03-19,6560.1,6477.3,6625.1,6670.8,6722.6,6772.9,Final Target Reached,BUY
2021-03-26,6735.25,2021-03-26,6734.2,6873.4,6648.0,6578.4,6508.7,6409.6,Awaiting Targets, 
2021-03-31,6737.95,2021-03-26,6734.2,6873.4,6648.0,6578.4,6508.7,6409.6,Stop Loss has occured,SELL
2021-04-01,6898.85,2021-04-01,6832.4,6792.0,6864.1,6886.3,6911.6,6936.1,Awaiting Targets, 
2021-04-08,6971.25,2021-04-06,6775.8,6837.8,6737.4,6706.4,6675.4,6631.2,Target 1 Reached,SELL
2021-04-09,6825.85,2021-04-09,6928.4,6854.4,6986.4,7027.2,7073.5,7118.5,Awaiting Targets, 
2021-04-15,6539.3,2021-04-13,6578.9,6717.8,6492.9,6423.4,6353.9,6254.9,Target 2 Reached,SELL
2021-04-20,6200.85,2021-04-19,6498.5,6414.4,6564.5,6610.8,6663.5,6714.5,Target 3 Reached,BUY
2021-04-22,6092.3,2021-04-22,6121.4,6241.4,6047.1,5987.1,5927.1,5841.6,Awaiting Targets, 
2021-04-23,6067.9,2021-04-22,6121.4,6241.4,6047.1,5987.1,5927.1,5841.6,Target 1 Reached,SELL
2021-05-20,6573.85,2021-05-18,6616.4,6538.7,6677.4,6720.2,6768.9,6816.1,Target 2 Reached,BUY
2021-05-21,6637.6,2021-05-21,6627.6,6704.3,6580.2,6541.8,6503.5,6448.9,Awaiting Targets, 
