Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,469.3,2020-12-24,452.22,446.41,456.78,459.98,463.62,467.15,Final Target Reached
2021-01-05,471.25,2021-01-05,469.77,471.75,468.55,467.56,466.58,465.17,Awaiting Targets
2021-01-06,472.4,2021-01-05,469.77,471.75,468.55,467.56,466.58,465.17,Target 2 Reached
2021-01-13,491.7,2021-01-13,495.97,501.55,492.52,489.73,486.94,482.97,Awaiting Targets, 
2021-01-14,509.4,2021-01-13,495.97,501.55,492.52,489.73,486.94,482.97,Stop Loss has occured,SELL
2021-01-22,566.95,2021-01-22,577.21,597.29,564.79,554.75,544.71,530.41,Awaiting Targets, 
2021-01-27,574.25,2021-01-22,577.21,597.29,564.79,554.75,544.71,530.41,Stop Loss has occured,SELL
2021-01-28,565.45,2021-01-22,577.21,597.29,564.79,554.75,544.71,530.41,Target 1 Reached,SELL
2021-02-01,534.1,2021-01-22,577.21,597.29,564.79,554.75,544.71,530.41,Final Target Reached,SELL
2021-02-02,566.3,2021-02-02,554.2,534.69,569.51,580.27,592.48,604.33,Awaiting Targets, 
2021-02-03,558.25,2021-02-02,554.2,534.69,569.51,580.27,592.48,604.33,Target 1 Reached,BUY
2021-02-09,538.6,2021-02-08,537.61,548.22,531.05,525.74,520.44,512.89,Stop Loss has occured,SELL
2021-02-11,543.55,2021-02-11,537.39,531.43,542.07,545.36,549.09,552.71,Awaiting Targets, 
2021-02-12,535.8,2021-02-11,537.39,531.43,542.07,545.36,549.09,552.71,Target 2 Reached,BUY
2021-02-18,541.05,2021-02-11,537.39,531.43,542.07,545.36,549.09,552.71,Final Target Reached,BUY
2021-03-05,591.55,2021-03-04,612.0,636.26,596.99,584.86,572.73,555.46,Target 1 Reached,SELL
2021-03-10,621.3,2021-03-10,623.75,612.69,632.44,638.54,645.47,652.19,Awaiting Targets, 
2021-03-16,620.25,2021-03-15,618.63,623.46,615.65,613.24,610.82,607.39,Stop Loss has occured,SELL
2021-03-17,609.2,2021-03-15,618.63,623.46,615.65,613.24,610.82,607.39,Final Target Reached,SELL
