Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
ULTRACEMCO,2021-06-11,6662.85,2021-06-10,6725.6,6789.4,6686.1,6654.2,6622.3,6576.9,SELL,Target 2 Reached
BPCL,2021-06-11,483.6,2021-06-10,485.1,490.1,481.9,479.4,476.9,473.3,SELL,Target 1 Reached
DRREDDY,2021-06-11,5453.0,2021-06-10,5264.2,5230.0,5291.1,5310.0,5331.4,5352.2,BUY,Final Target Reached
COALINDIA,2021-06-11,162.65,2021-06-10,157.0,158.6,156.0,155.2,154.4,153.3,SELL,Stop Loss has occured
INDUSINDBK,2021-06-11,1015.1,2021-06-10,1017.7,1026.8,1012.1,1007.6,1003.0,996.6,SELL,Target 1 Reached
HEROMOTOCO,2021-06-11,3004.35,2021-06-10,3022.7,3042.1,3010.7,3001.0,2991.3,2977.5,SELL,Target 2 Reached
WIPRO,2021-06-11,554.3,2021-06-10,550.3,553.4,548.3,546.8,545.2,542.9,SELL,Stop Loss has occured
GRASIM,2021-06-11,1490.6,2021-06-10,1496.9,1512.6,1487.3,1479.5,1471.7,1460.6,SELL,Target 2 Reached
IOC,2021-06-11,115.1,2021-06-10,115.8,117.6,114.7,113.8,112.9,111.6,SELL,Target 1 Reached
HDFCLIFE,2021-06-11,682.6,2021-06-10,688.6,696.7,683.5,679.5,675.4,669.6,SELL,Target 1 Reached
NESTLEIND,2021-06-11,17536.4,2021-06-10,17561.5,17486.0,17620.8,17662.4,17709.7,17755.6,BUY,Stop Loss has occured
RBLBANK,2021-06-11,218.25,2021-06-10,216.8,213.9,219.1,220.8,222.6,224.4,BUY,Target 2 Reached
